angleX,angleY,angleZ,Time,Label
46,-18,-8,22:59:21,Long Standing
43,-17,-6,22:59:22,Long Standing
44,-18,-6,22:59:22,Long Standing
44,-19,-6,22:59:23,Long Standing
44,-17,-7,22:59:23,Long Standing
45,-16,-6,22:59:24,Long Standing
45,-16,-5,22:59:24,Long Standing
45,-16,-5,22:59:25,Long Standing
46,-15,-5,22:59:25,Long Standing
45,-16,-5,22:59:26,Long Standing
45,-17,-6,22:59:26,Long Standing
45,-17,-7,22:59:27,Long Standing
44,-17,-7,22:59:27,Long Standing
44,-17,-7,22:59:28,Long Standing
44,-17,-6,22:59:28,Long Standing
40,-21,-6,22:59:29,Long Standing
45,-17,-4,22:59:29,Long Standing
45,-19,-3,22:59:30,Long Standing
46,-18,-6,22:59:30,Long Standing
46,-18,-4,22:59:31,Long Standing
45,-18,-4,22:59:31,Long Standing
44,-19,-3,22:59:32,Long Standing
44,-18,-3,22:59:32,Long Standing
45,-18,-3,22:59:33,Long Standing
44,-18,-3,22:59:33,Long Standing
45,-17,-4,22:59:34,Long Standing
44,-17,-4,22:59:34,Long Standing
45,-17,-4,22:59:35,Long Standing
46,-17,-4,22:59:35,Long Standing
-8,-42,-22,22:59:38,Bowing
-8,-43,-25,22:59:38,Bowing
-10,-42,-21,22:59:39,Bowing
-10,-42,-22,22:59:39,Bowing
-9,-42,-22,22:59:40,Bowing
-8,-43,-22,22:59:40,Bowing
-7,-45,-19,22:59:41,Bowing
15,-46,8,22:59:42,Short Standing
14,-46,8,22:59:43,Short Standing
14,-46,8,22:59:43,Short Standing
13,-47,7,22:59:44,Short Standing
35,-23,24,22:59:47,1st Prostration
35,-24,23,22:59:48,1st Prostration
35,-23,23,22:59:48,1st Prostration
36,-24,23,22:59:49,1st Prostration
34,-26,22,22:59:49,1st Prostration
35,-25,22,22:59:50,1st Prostration
30,-21,28,22:59:50,1st Prostration
31,-22,33,22:59:51,1st Prostration
37,-7,38,22:59:52,Short Sitting
33,-11,33,22:59:52,Short Sitting
35,-10,32,22:59:53,Short Sitting
29,-4,35,22:59:53,Short Sitting
29,-27,34,22:59:54,2nd Prostration
29,-17,32,22:59:54,2nd Prostration
31,-23,28,22:59:55,2nd Prostration
31,-25,25,22:59:55,2nd Prostration
32,-26,25,22:59:56,2nd Prostration
31,-26,25,22:59:56,2nd Prostration
32,-26,24,22:59:57,2nd Prostration
32,-26,24,22:59:57,2nd Prostration
34,-25,23,22:59:58,2nd Prostration
36,-22,25,22:59:58,2nd Prostration
45,-16,-6,23:00:03,Long Standing
45,-16,-5,23:00:03,Long Standing
45,-15,-4,23:00:04,Long Standing
47,-16,-4,23:00:04,Long Standing
44,-16,-6,23:00:05,Long Standing
45,-17,-6,23:00:05,Long Standing
44,-17,-6,23:00:06,Long Standing
44,-17,-6,23:00:06,Long Standing
44,-17,-7,23:00:07,Long Standing
44,-17,-7,23:00:07,Long Standing
45,-17,-7,23:00:08,Long Standing
45,-17,-5,23:00:08,Long Standing
47,-19,-3,23:00:09,Long Standing
38,-20,-5,23:00:09,Long Standing
44,-18,-4,23:00:10,Long Standing
39,-17,-4,23:00:10,Long Standing
46,-16,-5,23:00:11,Long Standing
42,-16,-6,23:00:11,Long Standing
46,-17,-6,23:00:12,Long Standing
45,-17,-6,23:00:12,Long Standing
44,-17,-6,23:00:13,Long Standing
44,-18,-6,23:00:13,Long Standing
45,-18,-7,23:00:14,Long Standing
45,-18,-7,23:00:14,Long Standing
0,-44,-24,23:00:17,Bowing
1,-45,-22,23:00:17,Bowing
5,-44,-22,23:00:18,Bowing
1,-43,-22,23:00:18,Bowing
2,-44,-23,23:00:19,Bowing
3,-43,-22,23:00:19,Bowing
2,-44,-21,23:00:20,Bowing
3,-43,-21,23:00:20,Bowing
4,-43,-19,23:00:21,Bowing
0,-46,-18,23:00:21,Bowing
12,-44,8,23:00:23,Short Standing
13,-45,12,23:00:23,Short Standing
13,-44,9,23:00:24,Short Standing
12,-45,11,23:00:24,Short Standing
8,-48,10,23:00:25,Short Standing
26,-21,31,23:00:27,1st Prostration
30,-20,32,23:00:28,1st Prostration
32,-25,25,23:00:28,1st Prostration
32,-25,26,23:00:29,1st Prostration
31,-25,27,23:00:29,1st Prostration
32,-25,26,23:00:30,1st Prostration
32,-25,26,23:00:30,1st Prostration
32,-23,29,23:00:31,1st Prostration
33,-9,33,23:00:33,Short Sitting
36,-14,32,23:00:33,Short Sitting
36,-13,34,23:00:34,Short Sitting
32,-10,33,23:00:34,Short Sitting
40,-23,19,23:00:36,2nd Prostration
37,-28,16,23:00:36,2nd Prostration
36,-28,16,23:00:37,2nd Prostration
37,-27,16,23:00:37,2nd Prostration
37,-27,16,23:00:38,2nd Prostration
36,-29,15,23:00:38,2nd Prostration
36,-28,15,23:00:39,2nd Prostration
36,-28,16,23:00:39,2nd Prostration
37,-24,18,23:00:40,2nd Prostration
26,-17,35,23:00:41,Long Sitting
28,-12,36,23:00:42,Long Sitting
29,-12,36,23:00:42,Long Sitting
31,-10,36,23:00:43,Long Sitting
32,-10,35,23:00:43,Long Sitting
31,-10,36,23:00:44,Long Sitting
30,-11,36,23:00:44,Long Sitting
31,-10,36,23:00:45,Long Sitting
31,-10,36,23:00:45,Long Sitting
31,-10,35,23:00:46,Long Sitting
30,-10,36,23:00:46,Long Sitting
29,-9,36,23:00:47,Long Sitting
30,-9,37,23:00:47,Long Sitting
30,-9,36,23:00:48,Long Sitting
