angleX,angleY,angleZ,Time,
10,-43,19,23:09:24,
22,-46,28,23:09:25,
39,-11,19,23:09:25,
9,37,15,23:09:26,
-11,43,20,23:09:26,
3,30,26,23:09:27,
39,-21,-12,23:09:28,
40,-21,-9,23:09:28,
40,-24,-10,23:09:29,
41,-22,-10,23:09:29,
42,-21,-11,23:09:30,
41,-22,-8,23:09:30,
41,-22,-8,23:09:31,
42,-22,-8,23:09:31,
42,-22,-8,23:09:32,
43,-22,-7,23:09:32,
41,-22,-8,23:09:33,
42,-22,-9,23:09:33,
43,-21,-9,23:09:34,
42,-21,-9,23:09:34,
42,-22,-10,23:09:35,
42,-22,-10,23:09:35,
42,-22,-10,23:09:36,
42,-23,-10,23:09:36,
42,-23,-10,23:09:37,
42,-23,-10,23:09:37,
42,-23,-10,23:09:38,
42,-22,-9,23:09:38,
41,-23,-10,23:09:39,
42,-22,-10,23:09:39,
40,-22,-9,23:09:40,
43,-22,-9,23:09:40,
41,-22,-10,23:09:41,
42,-23,-10,23:09:41,
42,-23,-10,23:09:42,
40,-23,-10,23:09:42,
42,-23,-10,23:09:43,
42,-23,-10,23:09:43,
41,-23,-10,23:09:44,
27,-30,-4,23:09:44,
14,-44,-8,23:09:45,
-7,-47,-18,23:09:45,
-10,-46,-21,23:09:46,
-7,-43,-22,23:09:46,
-8,-43,-21,23:09:47,
-8,-42,-19,23:09:47,
-6,-44,-18,23:09:48,
-9,-47,-19,23:09:49,
-1,-47,-15,23:09:49,
11,-45,1,23:09:50,
13,-47,3,23:09:50,
13,-46,6,23:09:51,
20,-46,4,23:09:51,
13,-50,-4,23:09:52,
27,-29,-13,23:09:52,
44,-36,8,23:09:53,
27,-31,23,23:09:53,
33,-34,34,23:09:54,
31,-17,31,23:09:54,
32,-26,24,23:09:55,
33,-27,22,23:09:55,
33,-28,23,23:09:56,
32,-28,22,23:09:56,
32,-25,25,23:09:57,
28,-22,36,23:09:57,
22,-34,33,23:09:58,
29,-12,34,23:09:58,
31,-15,33,23:09:59,
33,-15,32,23:09:59,
26,-10,33,23:10:00,
21,-33,31,23:10:00,
33,-16,32,23:10:01,
31,-22,26,23:10:01,
32,-25,25,23:10:02,
32,-27,24,23:10:02,
33,-28,21,23:10:03,
34,-26,23,23:10:03,
34,-26,22,23:10:04,
31,-18,35,23:10:04,
24,-50,15,23:10:05,
26,-43,46,23:10:05,
26,-18,36,23:10:06,
27,-4,44,23:10:06,
32,-34,9,23:10:07,
36,-15,-11,23:10:07,
44,-19,-12,23:10:08,
40,-22,-9,23:10:08,
43,-22,-7,23:10:09,
42,-23,-10,23:10:09,
40,-24,-10,23:10:10,
41,-24,-10,23:10:10,
42,-24,-10,23:10:11,
43,-23,-9,23:10:11,
41,-23,-10,23:10:12,
44,-20,-9,23:10:12,
42,-23,-9,23:10:13,
41,-23,-10,23:10:13,
41,-23,-10,23:10:14,
41,-23,-10,23:10:14,
41,-23,-10,23:10:15,
40,-23,-11,23:10:15,
41,-24,-10,23:10:16,
40,-24,-10,23:10:16,
41,-24,-11,23:10:17,
40,-24,-11,23:10:17,
38,-26,-10,23:10:18,
40,-24,-10,23:10:18,
41,-24,-10,23:10:19,
38,-25,-11,23:10:19,
38,-36,-3,23:10:20,
2,-48,-10,23:10:20,
-15,-44,-25,23:10:21,
-10,-42,-22,23:10:21,
-9,-43,-21,23:10:22,
-9,-43,-21,23:10:22,
-8,-43,-21,23:10:23,
-8,-42,-21,23:10:23,
-7,-44,-21,23:10:24,
-11,-51,-15,23:10:24,
