angleX,angleY,angleZ,Time,Label
41,-23,-12,22:45:45,Long Standing
41,-23,-12,22:45:45,Long Standing
40,-22,-13,22:45:46,Long Standing
40,-22,-13,22:45:46,Long Standing
42,-23,-13,22:45:47,Long Standing
40,-23,-13,22:45:47,Long Standing
41,-23,-13,22:45:48,Long Standing
41,-22,-13,22:45:48,Long Standing
39,-23,-15,22:45:49,Long Standing
40,-23,-13,22:45:49,Long Standing
40,-23,-14,22:45:50,Long Standing
39,-24,-14,22:45:50,Long Standing
42,-23,-13,22:45:51,Long Standing
41,-23,-12,22:45:51,Long Standing
41,-22,-12,22:45:52,Long Standing
43,-22,-10,22:45:52,Long Standing
41,-22,-11,22:45:53,Long Standing
42,-23,-10,22:45:53,Long Standing
41,-22,-12,22:45:54,Long Standing
41,-23,-11,22:45:54,Long Standing
41,-23,-12,22:45:55,Long Standing
41,-23,-12,22:45:55,Long Standing
41,-22,-13,22:45:56,Long Standing
41,-23,-12,22:45:56,Long Standing
41,-22,-11,22:45:57,Long Standing
41,-23,-11,22:45:57,Long Standing
-7,-43,-16,22:45:59,Bowing
-8,-41,-26,22:45:59,Bowing
-7,-43,-24,22:46:00,Bowing
-9,-41,-24,22:46:00,Bowing
-7,-42,-24,22:46:01,Bowing
-6,-42,-23,22:46:01,Bowing
-4,-42,-23,22:46:02,Bowing
-5,-42,-23,22:46:02,Bowing
-5,-43,-23,22:46:03,Bowing
-7,-50,-19,22:46:03,Bowing
9,-45,0,22:46:04,Short Standing
12,-46,5,22:46:05,Short Standing
14,-47,6,22:46:05,Short Standing
15,-46,5,22:46:06,Short Standing
23,-44,1,22:46:06,Short Standing
32,-19,29,22:46:09,Prostration
32,-24,27,22:46:10,Prostration
32,-25,26,22:46:10,Prostration
32,-25,26,22:46:11,Prostration
32,-25,26,22:46:11,Prostration
34,-25,25,22:46:12,Prostration
30,-11,36,22:46:14,Sitting
32,-13,34,22:46:14,Sitting
24,-11,35,22:46:15,Sitting
31,-26,25,22:46:16,Prostration
31,-30,20,22:46:17,Prostration
32,-30,20,22:46:17,Prostration
32,-30,20,22:46:18,Prostration
32,-30,20,22:46:18,Prostration
32,-30,20,22:46:19,Prostration
45,-20,-10,22:46:23,Long Standing
44,-20,-9,22:46:23,Long Standing
47,-17,-9,22:46:24,Long Standing
43,-19,-10,22:46:24,Long Standing
44,-19,-9,22:46:25,Long Standing
44,-19,-8,22:46:25,Long Standing
43,-19,-8,22:46:26,Long Standing
43,-19,-8,22:46:26,Long Standing
43,-20,-9,22:46:27,Long Standing
43,-20,-9,22:46:27,Long Standing
43,-20,-9,22:46:28,Long Standing
43,-20,-9,22:46:28,Long Standing
43,-20,-8,22:46:29,Long Standing
43,-21,-9,22:46:29,Long Standing
43,-21,-9,22:46:30,Long Standing
48,-19,-9,22:46:30,Long Standing
42,-20,-7,22:46:31,Long Standing
42,-21,-6,22:46:31,Long Standing
43,-21,-5,22:46:32,Long Standing
42,-21,-5,22:46:32,Long Standing
43,-20,-6,22:46:33,Long Standing
44,-21,-7,22:46:33,Long Standing
43,-20,-8,22:46:34,Long Standing
43,-21,-7,22:46:34,Long Standing
43,-20,-8,22:46:35,Long Standing
43,-21,-8,22:46:35,Long Standing
43,-22,-8,22:46:36,Long Standing
43,-21,-8,22:46:36,Long Standing
42,-22,-8,22:46:37,Long Standing
3,-47,-18,22:46:38,Bowing
1,-43,-24,22:46:39,Bowing
2,-44,-20,22:46:39,Bowing
4,-44,-17,22:46:40,Bowing
4,-45,-18,22:46:40,Bowing
6,-45,-16,22:46:41,Bowing
13,-46,11,22:46:42,Short Standing
12,-43,8,22:46:43,Short Standing
17,-46,7,22:46:43,Short Standing
12,-44,-4,22:46:44,Short Standing
36,-17,25,22:46:47,Prostration
36,-21,24,22:46:47,Prostration
37,-22,23,22:46:48,Prostration
37,-22,22,22:46:48,Prostration
37,-21,22,22:46:49,Prostration
37,-21,22,22:46:49,Prostration
35,-15,30,22:46:50,Prostration
26,-14,35,22:46:51,Sitting
33,-14,33,22:46:52,Sitting
34,-10,33,22:46:52,Sitting
23,-11,34,22:46:53,Sitting
32,-29,34,22:46:53,Prostration
30,-21,31,22:46:54,Prostration
33,-26,22,22:46:54,Prostration
34,-29,19,22:46:55,Prostration
34,-28,19,22:46:55,Prostration
35,-28,18,22:46:56,Prostration
35,-28,19,22:46:56,Prostration
34,-28,19,22:46:57,Prostration
35,-28,19,22:46:57,Prostration
35,-26,21,22:46:58,Prostration
30,-8,36,22:47:00,Sitting
29,-6,38,22:47:01,Sitting
29,-6,38,22:47:01,Sitting
29,-6,38,22:47:02,Sitting
30,-5,37,22:47:02,Sitting
29,-5,38,22:47:03,Sitting
29,-5,38,22:47:03,Sitting
29,-6,38,22:47:04,Sitting
29,-6,38,22:47:04,Sitting
30,-6,38,22:47:05,Sitting
30,-5,38,22:47:05,Sitting
30,-5,38,22:47:06,Sitting
30,-5,38,22:47:06,Sitting
30,-5,37,22:47:07,Sitting
30,-5,37,22:47:07,Sitting
30,-6,37,22:47:08,Sitting
31,-4,37,22:47:08,Sitting
29,-7,38,22:47:09,Sitting
29,-6,38,22:47:09,Sitting
30,-3,38,22:47:10,Sitting
30,-4,37,22:47:10,Sitting
30,-6,37,22:47:11,Sitting
29,-6,38,22:47:11,Sitting
29,-7,38,22:47:12,Sitting
29,-6,38,22:47:12,Sitting
28,-6,38,22:47:13,Sitting
29,-6,38,22:47:13,Sitting
29,-6,38,22:47:14,Sitting
29,-6,38,22:47:14,Sitting
29,-6,38,22:47:15,Sitting
29,-5,38,22:47:15,Sitting
30,-5,38,22:47:16,Sitting
28,-6,38,22:47:16,Sitting
27,-7,39,22:47:17,Sitting
26,-7,40,22:47:17,Sitting
27,-7,40,22:47:18,Sitting
27,-7,40,22:47:18,Sitting
26,-7,39,22:47:19,Sitting
41,-22,-8,22:49:24,Long Standing
40,-19,-7,22:49:24,Long Standing
44,-20,-8,22:49:25,Long Standing
44,-21,-8,22:49:25,Long Standing
39,-22,-10,22:49:26,Long Standing
42,-22,-11,22:49:26,Long Standing
42,-22,-11,22:49:27,Long Standing
42,-22,-11,22:49:27,Long Standing
42,-22,-11,22:49:28,Long Standing
43,-21,-9,22:49:28,Long Standing
42,-21,-9,22:49:29,Long Standing
42,-21,-10,22:49:29,Long Standing
42,-21,-10,22:49:30,Long Standing
42,-22,-10,22:49:30,Long Standing
42,-22,-10,22:49:31,Long Standing
42,-23,-11,22:49:31,Long Standing
42,-22,-10,22:49:32,Long Standing
42,-22,-10,22:49:32,Long Standing
42,-22,-10,22:49:33,Long Standing
42,-22,-11,22:49:33,Long Standing
41,-22,-11,22:49:34,Long Standing
42,-21,-9,22:49:34,Long Standing
43,-21,-9,22:49:35,Long Standing
43,-21,-9,22:49:35,Long Standing
43,-22,-8,22:49:36,Long Standing
44,-20,-9,22:49:36,Long Standing
43,-21,-9,22:49:37,Long Standing
42,-21,-9,22:49:37,Long Standing
42,-22,-9,22:49:38,Long Standing
41,-22,-10,22:49:38,Long Standing
-3,-43,-22,22:49:40,Bowing
-4,-42,-23,22:49:41,Bowing
-4,-42,-24,22:49:41,Bowing
-3,-42,-24,22:49:42,Bowing
-3,-42,-24,22:49:42,Bowing
-3,-42,-24,22:49:43,Bowing
-3,-42,-23,22:49:43,Bowing
13,-43,6,22:49:45,Short Standing
16,-46,9,22:49:45,Short Standing
13,-45,10,22:49:46,Short Standing
14,-46,8,22:49:46,Short Standing
13,-45,3,22:49:47,Short Standing
32,-20,30,22:49:50,Prostration
35,-24,24,22:49:50,Prostration
33,-27,21,22:49:51,Prostration
33,-28,21,22:49:51,Prostration
34,-28,20,22:49:52,Prostration
34,-28,20,22:49:52,Prostration
34,-28,20,22:49:53,Prostration
30,-27,19,22:49:53,Prostration
29,-23,35,22:49:54,Sitting
23,-22,31,22:49:54,Sitting
24,-15,39,22:49:55,Sitting
26,-12,38,22:49:55,Sitting
27,-10,39,22:49:56,Sitting
27,-11,35,22:49:56,Sitting
22,-15,39,22:49:57,Sitting
27,-18,34,22:49:57,Sitting
33,-22,23,22:49:58,Prostration
37,-27,14,22:49:58,Prostration
37,-28,14,22:49:59,Prostration
37,-28,13,22:49:59,Prostration
37,-28,13,22:50:00,Prostration
37,-28,13,22:50:00,Prostration
38,-26,15,22:50:01,Prostration
35,-18,25,22:50:01,Prostration
41,-21,-10,22:50:06,Long Standing
42,-22,-13,22:50:07,Long Standing
43,-22,-10,22:50:07,Long Standing
41,-22,-14,22:50:08,Long Standing
40,-23,-14,22:50:08,Long Standing
40,-22,-14,22:50:09,Long Standing
41,-22,-14,22:50:09,Long Standing
40,-22,-14,22:50:10,Long Standing
40,-22,-14,22:50:10,Long Standing
41,-22,-14,22:50:11,Long Standing
42,-22,-13,22:50:11,Long Standing
39,-22,-13,22:50:12,Long Standing
41,-22,-12,22:50:12,Long Standing
42,-22,-12,22:50:13,Long Standing
41,-22,-12,22:50:13,Long Standing
41,-22,-12,22:50:14,Long Standing
41,-22,-12,22:50:14,Long Standing
41,-22,-13,22:50:15,Long Standing
41,-22,-13,22:50:15,Long Standing
41,-22,-13,22:50:16,Long Standing
41,-22,-13,22:50:16,Long Standing
41,-22,-13,22:50:17,Long Standing
41,-22,-13,22:50:17,Long Standing
41,-22,-14,22:50:18,Long Standing
40,-23,-14,22:50:18,Long Standing
39,-23,-14,22:50:19,Long Standing
38,-24,-14,22:50:19,Long Standing
0,-43,-23,22:50:21,Bowing
-3,-42,-24,22:50:21,Bowing
-3,-43,-24,22:50:22,Bowing
-3,-43,-23,22:50:22,Bowing
-4,-43,-23,22:50:23,Bowing
-2,-45,-24,22:50:23,Bowing
-3,-51,-18,22:50:24,Bowing
6,-45,0,22:50:24,Short Standing
10,-46,3,22:50:25,Short Standing
13,-48,3,22:50:25,Short Standing
14,-45,8,22:50:26,Short Standing
12,-46,10,22:50:26,Short Standing
35,-16,34,22:50:29,Prostration
35,-13,28,22:50:29,Prostration
37,-16,26,22:50:30,Prostration
37,-18,25,22:50:30,Prostration
37,-18,25,22:50:31,Prostration
37,-17,26,22:50:31,Prostration
18,-12,35,22:50:33,Sitting
31,-16,33,22:50:33,Sitting
30,-14,34,22:50:34,Sitting
31,-5,31,22:50:34,Sitting
35,-18,28,22:50:36,Prostration
36,-20,25,22:50:37,Prostration
34,-25,25,22:50:37,Prostration
34,-25,24,22:50:38,Prostration
34,-25,23,22:50:38,Prostration
34,-25,23,22:50:39,Sitting
25,-2,38,22:50:41,Sitting
27,-6,40,22:50:41,Sitting
24,-4,42,22:50:42,Sitting
25,-4,40,22:50:42,Sitting
27,-4,39,22:50:43,Sitting
28,-4,39,22:50:43,Sitting
26,-4,40,22:50:44,Sitting
26,-4,40,22:50:44,Sitting
26,-3,40,22:50:45,Sitting
26,-3,40,22:50:45,Sitting
26,-3,40,22:50:46,Sitting
26,-3,40,22:50:46,Sitting
27,-3,40,22:50:47,Sitting
27,-3,40,22:50:47,Sitting
27,-3,40,22:50:48,Sitting
26,-3,40,22:50:48,Sitting
27,-4,40,22:50:49,Sitting
27,-3,40,22:50:49,Sitting
28,-5,38,22:50:50,Sitting
35,-23,-2,22:50:53,Long Standing
37,-21,-11,22:50:54,Long Standing
42,-21,-8,22:50:54,Long Standing
44,-17,-7,22:50:55,Long Standing
45,-21,-7,22:50:55,Long Standing
42,-22,-11,22:50:56,Long Standing
42,-21,-11,22:50:56,Long Standing
42,-21,-12,22:50:57,Long Standing
42,-21,-11,22:50:57,Long Standing
42,-21,-11,22:50:58,Long Standing
42,-21,-11,22:50:58,Long Standing
42,-20,-11,22:50:59,Long Standing
42,-21,-11,22:50:59,Long Standing
42,-21,-11,22:51:00,Long Standing
43,-21,-11,22:51:00,Long Standing
42,-21,-11,22:51:01,Long Standing
42,-21,-11,22:51:01,Long Standing
43,-20,-10,22:51:02,Long Standing
42,-21,-10,22:51:02,Long Standing
41,-22,-11,22:51:03,Long Standing
-13,-44,-24,22:51:05,Bowing
-6,-42,-23,22:51:05,Bowing
-5,-42,-23,22:51:06,Bowing
-5,-42,-24,22:51:06,Bowing
-5,-42,-24,22:51:07,Bowing
-4,-45,-24,22:51:07,Bowing
2,-47,-11,22:51:08,Short Standing
10,-43,-2,22:51:08,Short Standing
17,-47,4,22:51:09,Short Standing
15,-46,6,22:51:09,Short Standing
15,-45,7,22:51:10,Short Standing
20,-48,5,22:51:10,Short Standing
37,-21,22,22:51:13,Prostration
38,-22,19,22:51:14,Prostration
37,-23,20,22:51:14,Prostration
37,-23,20,22:51:15,Prostration
37,-22,21,22:51:15,Prostration
37,-22,21,22:51:16,Prostration
36,-24,21,22:51:16,Prostration
32,-27,22,22:51:17,Prostration
