TimeStamp,Posture,RakatCount,
22:17:37,Long Standing,4,,
22:17:53,Bowing,4,,
22:17:58,Short Standing,4,,
22:18:02,1st Prostration,4,,
22:18:09,Short Sitting,4,,
22:18:11,2nd Prostration,4,,
22:18:18,Long Standing,4,,
22:18:32,Bowing,4,,
22:18:36,Short Standing,4,,
22:18:40,1st Prostration,4,,
22:18:44,Short Sitting,4,,
22:18:47,2nd Prostration,4,,
22:18:52,Long Sitting,4,,
22:19:03,Long Standing,4,,
22:19:16,Bowing,4,,
22:19:20,Short Standing,4,,
22:19:23,1st Prostration,4,,
22:19:27,Short Sitting,4,,
22:19:29,2nd Prostration,4,,
22:19:34,Long Standing,4,,
22:19:47,Bowing,4,,
22:19:51,Short Standing,4,,
22:19:55,1st Prostration,4,,
22:19:58,Short Sitting,4,,
22:20:01,2nd Prostration,4,,
22:20:04,Long Sitting,4,,
22:20:25,End Namaz,4,,
