angleX,angleY,angleZ,Time,
5,-37,27,10:23:20,
9,-38,32,10:23:20,
8,-37,31,10:23:21,
4,-34,34,10:23:21,
5,-30,34,10:23:21,
3,-31,41,10:23:21,
7,-27,42,10:23:22,
5,-19,45,10:23:22,
9,27,19,10:23:22,
-23,34,9,10:23:23,
-15,42,17,10:23:23,
-15,37,21,10:23:23,
-1,18,-8,10:23:23,
22,-38,7,10:23:24,
44,-15,24,10:23:24,
43,-4,10,10:23:24,
36,-9,11,10:23:25,
43,-2,9,10:23:25,
50,-5,7,10:23:25,
48,-4,6,10:23:26,
48,-4,4,10:23:26,
46,-6,6,10:23:26,
48,-7,4,10:23:27,
49,-5,2,10:23:27,
48,-5,3,10:23:27,
49,-6,2,10:23:27,
48,-6,2,10:23:28,
48,-7,3,10:23:28,
47,-6,3,10:23:28,
48,-7,4,10:23:28,
47,-7,2,10:23:29,
47,-8,1,10:23:29,
48,-6,2,10:23:29,
49,-7,3,10:23:29,
48,-7,4,10:23:30,
48,-7,5,10:23:30,
47,-6,5,10:23:30,
49,-7,3,10:23:30,
49,-7,1,10:23:31,
48,-7,1,10:23:31,
48,-7,3,10:23:31,
47,-7,0,10:23:31,
50,-7,3,10:23:32,
46,-8,2,10:23:32,
48,-8,2,10:23:32,
50,-6,3,10:23:32,
46,-7,2,10:23:33,
48,-6,4,10:23:33,
48,-6,3,10:23:33,
48,-7,3,10:23:33,
44,-5,3,10:23:34,
49,-6,4,10:23:34,
47,-6,3,10:23:34,
48,-6,3,10:23:34,
48,-7,4,10:23:35,
48,-7,3,10:23:35,
47,-8,2,10:23:35,
47,-7,3,10:23:35,
48,-8,1,10:23:36,
47,-10,1,10:23:36,
46,-9,2,10:23:36,
49,-7,3,10:23:36,
49,-9,1,10:23:37,
48,-9,1,10:23:37,
47,-9,1,10:23:37,
47,-8,2,10:23:38,
48,-6,2,10:23:38,
47,-8,2,10:23:38,
47,-7,4,10:23:38,
47,-6,4,10:23:39,
48,-6,4,10:23:39,
44,-6,2,10:23:39,
46,-7,4,10:23:39,
47,-8,5,10:23:40,
38,-6,10,10:23:40,
38,-35,2,10:23:40,
31,-39,-6,10:23:41,
