TimeStamp,Posture,RakatCount,
15:11:32,Long Standing,4,,
15:11:51,Bowing,4,,
15:11:53,Short Standing,4,,
15:11:57,1st Prostration,4,,
15:12:00,Short Sitting,4,,
15:12:04,2nd Prostration,4,,
15:12:07,Long Standing,4,,
15:12:15,Bowing,4,,
15:12:17,Short Standing,4,,
15:12:22,1st Prostration,4,,
15:12:25,Short Sitting,4,,
15:12:28,2nd Prostration,4,,
15:12:35,Long Sitting,4,,
15:12:44,Long Standing,4,,
15:12:52,Bowing,4,,
15:12:54,Short Standing,4,,
15:12:58,1st Prostration,4,,
15:13:02,Short Sitting,4,,
15:13:04,2nd Prostration,4,,
15:13:10,Long Standing,4,,
15:13:17,Bowing,4,,
15:13:20,Short Standing,4,,
15:13:24,1st Prostration,4,,
15:13:28,Short Sitting,4,,
15:13:31,2nd Prostration,4,,
15:13:35,Long Sitting,4,,
15:14:01,End Namaz,4,,
