angleX,angleY,angleZ,Time,
9,-48,3,15:23:41,
8,-47,4,15:23:41,
9,-48,3,15:23:42,
9,-48,4,15:23:42,
9,-48,3,15:23:42,
9,-48,4,15:23:42,
9,-48,3,15:23:43,
9,-48,3,15:23:43,
9,-48,3,15:23:43,
9,-48,3,15:23:43,
9,-48,3,15:23:44,
9,-49,7,15:23:44,
32,-39,28,15:23:44,
8,4,29,15:23:45,
8,4,29,15:23:45,
-24,31,5,15:23:45,
-44,19,0,15:23:45,
-41,25,-6,15:23:46,
-40,25,0,15:23:46,
-40,29,0,15:23:46,
-40,25,0,15:23:46,
-43,18,-3,15:23:47,
-29,27,-7,15:23:47,
22,11,31,15:23:47,
41,-6,30,15:23:47,
41,-17,30,15:23:48,
49,-4,6,15:23:48,
41,0,-12,15:23:48,
50,-8,-6,15:23:49,
46,-7,-16,15:23:49,
47,-7,-14,15:23:50,
46,-14,-12,15:23:50,
42,-11,-12,15:23:50,
46,-12,-13,15:23:50,
46,-12,-13,15:23:51,
45,-11,-13,15:23:51,
46,-11,-13,15:23:51,
45,-11,-13,15:23:51,
45,-11,-14,15:23:52,
45,-12,-14,15:23:52,
45,-12,-14,15:23:52,
44,-12,-14,15:23:52,
45,-12,-14,15:23:53,
45,-12,-14,15:23:53,
45,-12,-14,15:23:53,
45,-12,-14,15:23:53,
45,-11,-15,15:23:54,
45,-12,-14,15:23:54,
45,-12,-14,15:23:54,
45,-11,-15,15:23:54,
45,-12,-14,15:23:55,
45,-12,-14,15:23:55,
45,-11,-14,15:23:55,
45,-11,-14,15:23:55,
45,-11,-14,15:23:56,
45,-11,-14,15:23:56,
45,-11,-14,15:23:56,
45,-11,-14,15:23:56,
45,-11,-15,15:23:57,
45,-11,-15,15:23:57,
44,-11,-14,15:23:57,
45,-11,-14,15:23:57,
45,-11,-14,15:23:58,
45,-11,-14,15:23:58,
45,-11,-14,15:23:58,
45,-11,-14,15:23:58,
46,-11,-14,15:23:59,
45,-11,-14,15:23:59,
44,-11,-15,15:23:59,
45,-11,-15,15:23:59,
45,-11,-15,15:24:00,
45,-11,-15,15:24:00,
45,-11,-15,15:24:00,
44,-10,-15,15:24:00,
45,-11,-15,15:24:01,
44,-12,-15,15:24:01,
44,-11,-15,15:24:01,
45,-11,-15,15:24:01,
45,-11,-14,15:24:02,
45,-11,-14,15:24:02,
45,-11,-14,15:24:02,
45,-11,-14,15:24:02,
45,-11,-15,15:24:03,
45,-11,-15,15:24:03,
45,-11,-15,15:24:03,
45,-11,-14,15:24:03,
45,-11,-14,15:24:04,
45,-11,-14,15:24:04,
45,-11,-14,15:24:04,
45,-11,-14,15:24:04,
44,-11,-14,15:24:05,
44,-12,-14,15:24:05,
44,-12,-15,15:24:05,
45,-12,-14,15:24:05,
44,-12,-15,15:24:06,
44,-12,-15,15:24:06,
45,-12,-15,15:24:06,
45,-12,-15,15:24:06,
45,-11,-15,15:24:07,
44,-11,-14,15:24:07,
45,-11,-14,15:24:07,
45,-11,-14,15:24:07,
45,-11,-15,15:24:08,
45,-11,-15,15:24:08,
45,-11,-15,15:24:08,
45,-11,-15,15:24:08,
45,-11,-15,15:24:09,
45,-11,-15,15:24:09,
43,-11,-15,15:24:09,
45,-11,-14,15:24:09,
45,-11,-14,15:24:10,
45,-11,-14,15:24:10,
