TimeStamp,Posture,RakatCount,
17:34:43,Long Standing,4,,
17:35:00,Bowing,4,,
17:35:05,Short Standing,4,,
17:35:08,1st Prostration,4,,
17:35:12,Short Sitting,4,,
17:35:14,2nd Prostration,4,,
17:35:19,Long Standing,4,,
17:35:32,Bowing,4,,
17:35:37,Short Standing,4,,
17:35:41,1st Prostration,4,,
17:35:45,Short Sitting,4,,
17:35:47,2nd Prostration,4,,
17:35:51,Long Sitting,4,,
17:36:02,Long Standing,4,,
17:36:13,Bowing,4,,
17:36:17,Short Standing,4,,
17:36:21,1st Prostration,4,,
17:36:24,Short Sitting,4,,
17:36:27,2nd Prostration,4,,
17:36:31,Long Standing,4,,
17:36:46,Bowing,4,,
17:36:51,Short Standing,4,,
17:36:53,1st Prostration,4,,
17:36:58,Short Sitting,4,,
17:37:00,2nd Prostration,4,,
17:37:05,Long Sitting,4,,
17:37:24,End Namaz,4,,
