angleX,angleY,angleZ,Time,
14,-52,9,17:31:32,
23,-53,15,17:31:32,
43,-50,31,17:31:32,
46,-51,21,17:31:32,
50,-43,26,17:31:32,
49,-20,24,17:31:32,
34,-14,17,17:31:32,
24,-8,14,17:31:32,
12,0,13,17:31:32,
13,9,18,17:31:32,
3,15,11,17:31:32,
0,25,12,17:31:33,
-12,29,15,17:31:33,
-25,31,19,17:31:33,
-17,36,26,17:31:33,
-6,41,25,17:31:33,
-18,36,23,17:31:33,
-29,30,17,17:31:33,
-27,27,4,17:31:33,
-17,28,4,17:31:33,
-4,27,9,17:31:33,
5,26,15,17:31:33,
16,17,4,17:31:33,
28,8,-4,17:31:33,
37,0,0,17:31:33,
45,-7,19,17:31:33,
50,3,28,17:31:33,
45,3,18,17:31:33,
49,-13,25,17:31:33,
49,-17,6,17:31:34,
34,-20,-4,17:31:34,
44,-17,0,17:31:34,
50,-11,-7,17:31:34,
41,-14,-15,17:31:34,
41,-24,-16,17:31:36,
39,-16,-9,17:31:50,
28,-21,-9,17:31:51,
22,-30,-12,17:31:51,
34,-30,-13,17:31:51,
21,-40,-10,17:31:51,
9,-44,-9,17:31:51,
16,-54,-5,17:31:51,
27,-57,4,17:31:51,
5,-56,-15,17:31:51,
12,-56,-6,17:31:51,
0,-62,-12,17:31:51,
-7,-66,-24,17:31:51,
-15,-59,-31,17:31:51,
-23,-40,-23,17:31:51,
-22,-26,-15,17:31:51,
-19,-36,-4,17:31:51,
3,-45,-2,17:31:51,
12,-50,-5,17:31:51,
-6,-47,-10,17:31:51,
-5,-58,-19,17:31:51,
-17,-55,-15,17:31:51,
-11,-46,-11,17:31:52,
-1,-58,-9,17:31:54,
2,-65,0,17:31:54,
-9,-68,-7,17:31:54,
0,-54,-6,17:31:54,
9,-50,-4,17:31:54,
2,-44,0,17:31:55,
10,-38,6,17:31:55,
7,-45,13,17:31:55,
8,-54,19,17:31:55,
21,-58,17,17:31:55,
17,-47,11,17:31:55,
11,-48,3,17:31:55,
3,-46,-3,17:31:56,
-10,-48,-6,17:31:56,
0,-43,-6,17:31:56,
7,-34,-2,17:31:56,
-3,-32,-1,17:31:56,
5,-24,0,17:31:57,
-5,-25,12,17:31:57,
1,-25,2,17:31:57,
-6,-39,-2,17:31:57,
-8,-57,13,17:31:57,
5,-74,16,17:31:57,
29,-73,16,17:31:57,
35,-65,23,17:31:57,
14,-73,25,17:31:57,
10,-82,14,17:31:57,
13,-85,4,17:31:57,
23,-87,5,17:31:57,
22,-86,16,17:31:57,
11,-81,7,17:31:57,
9,-66,0,17:31:57,
12,-57,9,17:31:57,
4,-48,8,17:31:57,
11,-50,19,17:31:57,
8,-66,11,17:31:57,
-1,-51,1,17:31:57,
-11,-51,3,17:31:57,
4,-53,18,17:31:57,
24,-50,43,17:31:57,
-6,-24,16,17:31:58,
-18,-5,21,17:31:58,
12,-35,33,17:31:58,
26,-61,27,17:31:58,
0,-34,18,17:31:58,
14,-63,22,17:31:58,
25,-72,26,17:31:58,
16,-24,37,17:31:58,
7,-3,41,17:31:58,
18,-36,37,17:31:58,
26,-41,31,17:31:58,
16,-25,32,17:31:58,
19,-37,31,17:31:58,
22,-32,41,17:31:58,
22,-20,41,17:31:58,
15,-15,35,17:31:58,
8,-23,40,17:31:58,
17,-21,35,17:31:58,
9,-14,30,17:31:58,
11,-29,30,17:31:58,
24,-32,25,17:31:58,
24,-42,24,17:31:58,
29,-55,33,17:31:58,
20,-38,39,17:31:58,
14,-3,40,17:31:58,
26,-25,38,17:31:58,
18,-18,39,17:31:58,
23,-26,34,17:32:01,
22,-17,40,17:32:01,
26,-29,31,17:32:01,
20,-37,24,17:32:01,
30,-43,42,17:32:02,
35,-53,46,17:32:02,
23,-51,34,17:32:02,
9,-53,21,17:32:02,
11,-48,33,17:32:02,
2,-44,22,17:32:02,
-5,-37,27,17:32:02,
8,-32,30,17:32:02,
2,-16,20,17:32:02,
-9,-8,18,17:32:02,
-3,-14,24,17:32:02,
2,-20,34,17:32:02,
5,-24,24,17:32:02,
10,-17,33,17:32:02,
3,-24,49,17:32:02,
17,-24,44,17:32:02,
22,-32,39,17:32:02,
10,-30,32,17:32:02,
19,-26,38,17:32:03,
14,-19,44,17:32:03,
5,-13,49,17:32:03,
16,-12,38,17:32:03,
25,-22,35,17:32:03,
14,-20,35,17:32:04,
15,-31,30,17:32:04,
11,-40,28,17:32:04,
7,-47,21,17:32:04,
6,-32,19,17:32:04,
1,-27,29,17:32:04,
1,7,39,17:32:04,
5,-19,45,17:32:04,
30,-29,45,17:32:04,
17,-21,39,17:32:04,
13,-31,42,17:32:07,
6,-41,29,17:32:08,
1,-54,23,17:32:08,
10,-57,15,17:32:08,
3,-51,10,17:32:08,
-4,-55,16,17:32:08,
-17,-50,22,17:32:08,
-1,-45,24,17:32:08,
-4,-42,14,17:32:08,
-11,-38,41,17:32:08,
23,-45,27,17:32:08,
28,-34,17,17:32:08,
5,-29,14,17:32:08,
-9,-31,5,17:32:08,
10,-31,4,17:32:08,
