TimeStamp,Posture,RakatCount,
83476,Long Standing,3,,
83494,Bowing,3,,
83498,Short Standing,3,,
83502,1st Prostration,3,,
83507,Short Sitting,3,,
83510,2nd Prostration,3,,
83514,Long Standing,3,,
83531,Bowing,3,,
83535,Short Standing,3,,
83539,1st Prostration,3,,
83544,Short Sitting,3,,
83547,2nd Prostration,3,,
83551,Long Sitting,3,,
83559,Long Standing,3,,
83573,Bowing,3,,
83578,Short Standing,3,,
83580,1st Prostration,3,,
83585,Short Sitting,3,,
83588,2nd Prostration,3,,
83593,Long Sitting,3,,
83614,End Namaz,3,,
