angleX,angleY,angleZ,Time,
12,-46,29,83053,
20,-40,34,83054,
24,-32,41,83054,
27,-21,42,83054,
30,-9,41,83054,
27,1,35,83054,
23,12,31,83054,
15,23,30,83054,
4,29,22,83054,
-10,30,16,83054,
-17,35,10,83054,
-25,37,4,83054,
-17,39,11,83055,
-6,32,21,83055,
8,24,32,83056,
19,23,35,83056,
9,18,38,83056,
20,15,34,83056,
22,7,42,83056,
31,2,45,83056,
39,-6,39,83056,
47,-5,31,83056,
42,-11,24,83056,
41,-13,13,83056,
49,-12,4,83056,
43,-12,-7,83057,
43,-15,-17,83061,
34,-19,-9,83069,
40,-29,-6,83069,
34,-33,2,83069,
25,-37,4,83070,
21,-45,-2,83070,
12,-46,-8,83070,
6,-51,-15,83070,
-2,-50,-22,83070,
1,-54,-11,83070,
-6,-47,-20,83071,
2,-47,-12,83074,
7,-46,-2,83074,
15,-45,7,83074,
11,-55,0,83076,
15,-45,-1,83076,
9,-37,0,83076,
15,-34,8,83076,
20,-43,6,83077,
32,-41,10,83077,
21,-45,12,83077,
28,-38,4,83077,
22,-43,14,83077,
28,-34,21,83077,
31,-25,26,83077,
30,-19,34,83077,
22,-28,36,83078,
11,-27,40,83078,
19,-37,36,83078,
11,-34,29,83078,
10,-40,21,83078,
25,-34,50,83078,
16,-8,38,83078,
8,-5,27,83078,
14,-14,26,83078,
21,-24,35,83078,
32,-29,44,83078,
40,-21,47,83078,
24,-18,37,83078,
34,-19,38,83079,
31,-22,28,83079,
30,-16,36,83082,
27,-26,38,83082,
33,-38,31,83082,
26,-31,34,83082,
17,-25,38,83082,
27,-19,38,83082,
21,-11,36,83083,
21,-1,37,83083,
24,-4,50,83083,
26,-5,35,83083,
24,-12,42,83083,
34,-7,44,83084,
23,1,47,83084,
14,3,42,83084,
23,2,35,83084,
21,-7,40,83084,
20,-17,38,83084,
23,-26,45,83084,
14,-24,37,83085,
25,-23,45,83085,
35,-15,49,83085,
28,-13,42,83085,
17,-9,39,83085,
24,-18,40,83085,
32,-13,35,83085,
30,-22,28,83085,
37,-18,38,83088,
29,-21,30,83088,
19,-27,30,83088,
28,-28,38,83088,
30,-38,33,83088,
18,-38,25,83088,
15,-50,24,83088,
20,-47,10,83089,
8,-45,12,83089,
7,-39,22,83089,
20,-35,25,83089,
11,-30,27,83089,
19,-35,39,83089,
13,-29,32,83089,
-2,-22,31,83089,
-1,-31,26,83089,
6,-39,28,83089,
16,-41,34,83089,
29,-45,34,83089,
18,-46,31,83089,
6,-45,26,83089,
9,-34,27,83089,
0,-33,34,83089,
1,-43,36,83089,
4,-38,27,83090,
13,-43,26,83090,
13,-52,21,83090,
4,-58,26,83090,
-6,-60,27,83090,
-5,-59,16,83090,
5,-56,19,83090,
13,-50,25,83090,
20,-51,17,83090,
38,-47,12,83090,
30,-44,6,83090,
34,-34,10,83090,
30,-25,6,83090,
32,-18,-4,83091,
38,-24,-10,83091,
36,-14,-9,83091,
43,-19,-15,83091,
35,-11,-18,83091,
48,-14,-17,83091,
38,-11,-16,83091,
45,-18,-21,83091,
40,-14,-13,83092,
39,-23,-6,83103,
32,-27,0,83104,
33,-37,1,83104,
24,-42,2,83104,
17,-46,-6,83104,
8,-45,-11,83104,
0,-47,-17,83104,
0,-55,-7,83104,
-9,-47,-13,83105,
-7,-38,-17,83105,
-1,-42,-24,83105,
0,-50,-18,83105,
-9,-44,-22,83105,
1,-45,-19,83105,
-9,-43,-19,83108,
-4,-51,-15,83108,
6,-48,-11,83108,
13,-43,-4,83108,
18,-40,5,83109,
8,-40,6,83111,
7,-28,4,83111,
9,-38,10,83111,
13,-50,8,83111,
20,-59,8,83111,
12,-57,14,83111,
14,-48,21,83111,
15,-41,30,83112,
13,-35,38,83112,
7,-29,32,83112,
7,-31,19,83112,
8,-38,41,83112,
21,-42,47,83112,
0,-44,31,83112,
35,-32,48,83112,
17,-25,35,83112,
20,-37,37,83112,
17,-27,32,83112,
26,-30,38,83112,
18,-24,29,83112,
26,-30,34,83112,
18,-22,33,83113,
27,-26,41,83113,
26,-31,24,83113,
11,-21,22,83113,
19,-22,39,83113,
36,-32,41,83113,
33,-30,27,83113,
11,-19,17,83113,
12,-13,39,83113,
39,-25,47,83113,
40,-30,35,83113,
25,-22,25,83113,
16,-15,32,83113,
29,-20,42,83113,
24,-16,34,83113,
32,-20,29,83113,
35,-26,21,83117,
41,-23,30,83117,
28,-22,23,83117,
32,-20,33,83117,
23,-24,30,83118,
30,-19,38,83118,
25,-29,35,83118,
35,-44,28,83118,
19,-37,24,83118,
15,-26,27,83118,
27,-17,36,83118,
26,-7,38,83119,
16,-6,36,83120,
17,-16,40,83120,
16,-26,38,83121,
25,-31,43,83121,
33,-38,49,83121,
