angleX,angleY,angleZ,Time,
4,-46,25,23:34:42,
9,-39,34,23:34:42,
10,-31,41,23:34:42,
11,-21,41,23:34:42,
11,-10,42,23:34:43,
7,0,45,23:34:43,
4,10,43,23:34:43,
2,20,43,23:34:43,
1,30,46,23:34:43,
3,35,37,23:34:43,
1,35,26,23:34:43,
-8,36,14,23:34:44,
-15,39,7,23:34:44,
-26,40,10,23:34:44,
-28,38,0,23:34:44,
-20,43,6,23:34:44,
-13,41,13,23:34:44,
-5,36,18,23:34:45,
4,31,19,23:34:45,
9,21,30,23:34:45,
17,17,23,23:34:45,
21,12,37,23:34:45,
28,4,39,23:34:45,
34,-5,46,23:34:45,
28,-13,41,23:34:45,
33,-14,30,23:34:45,
44,-10,32,23:34:45,
40,-20,19,23:34:45,
40,-21,7,23:34:45,
50,-23,3,23:34:45,
43,-18,-4,23:34:46,
39,-26,1,23:35:01,
31,-33,5,23:35:01,
24,-39,9,23:35:01,
16,-45,2,23:35:01,
7,-47,-4,23:35:02,
1,-49,-14,23:35:02,
5,-44,-23,23:35:02,
6,-48,-10,23:35:02,
2,-43,-19,23:35:02,
0,-51,-13,23:35:06,
4,-45,-6,23:35:07,
8,-46,4,23:35:07,
9,-47,14,23:35:08,
8,-49,4,23:35:10,
8,-51,-6,23:35:10,
7,-49,7,23:35:10,
15,-51,24,23:35:10,
15,-40,13,23:35:10,
11,-33,5,23:35:10,
19,-38,15,23:35:10,
27,-50,14,23:35:10,
23,-43,20,23:35:11,
27,-32,25,23:35:11,
19,-29,31,23:35:11,
28,-26,38,23:35:11,
39,-26,40,23:35:11,
38,-36,37,23:35:11,
27,-38,31,23:35:11,
15,-28,30,23:35:11,
19,-38,34,23:35:11,
9,-34,27,23:35:12,
15,-40,47,23:35:12,
19,-10,39,23:35:12,
21,-12,49,23:35:12,
20,-8,37,23:35:12,
21,-6,48,23:35:12,
24,0,38,23:35:12,
28,-10,41,23:35:12,
27,-18,35,23:35:13,
23,-22,44,23:35:17,
16,-24,34,23:35:17,
25,-25,42,23:35:17,
18,-33,42,23:35:17,
14,-52,50,23:35:17,
8,-51,37,23:35:17,
7,-40,27,23:35:17,
2,-32,32,23:35:17,
7,-23,36,23:35:17,
6,-13,40,23:35:17,
14,-5,44,23:35:18,
7,-11,48,23:35:18,
13,-6,39,23:35:18,
21,-10,49,23:35:18,
19,-14,38,23:35:18,
29,-16,44,23:35:19,
20,-4,41,23:35:19,
10,-6,39,23:35:19,
16,-14,40,23:35:20,
16,-25,40,23:35:20,
26,-37,46,23:35:20,
15,-20,38,23:35:20,
12,-9,40,23:35:20,
22,-7,47,23:35:20,
20,-16,41,23:35:20,
26,-19,49,23:35:24,
21,-20,38,23:35:24,
15,-22,28,23:35:24,
16,-23,39,23:35:24,
23,-23,48,23:35:24,
18,-22,29,23:35:24,
29,-22,40,23:35:24,
19,-22,29,23:35:24,
10,-25,33,23:35:24,
10,-28,48,23:35:24,
19,-28,42,23:35:24,
11,-29,27,23:35:24,
12,-40,19,23:35:24,
0,-38,17,23:35:24,
4,-44,29,23:35:24,
2,-35,22,23:35:24,
9,-39,30,23:35:24,
0,-41,19,23:35:25,
17,-43,17,23:35:25,
26,-41,24,23:35:25,
16,-37,18,23:35:25,
28,-40,18,23:35:25,
45,-53,18,23:35:25,
44,-41,23,23:35:25,
35,-28,23,23:35:25,
