angleX,angleY,angleZ,Time,
-7,47,9,16:10:10,
-15,44,15,16:10:11,
-26,41,25,16:10:11,
-35,37,30,16:10:11,
-27,28,28,16:10:11,
-37,27,28,16:10:11,
-38,15,34,16:10:11,
-29,7,34,16:10:11,
-28,-5,37,16:10:11,
-26,-16,38,16:10:12,
-19,-24,38,16:10:12,
-9,-29,33,16:10:12,
1,-31,28,16:10:12,
10,-35,23,16:10:12,
12,-25,13,16:10:12,
5,-20,5,16:10:12,
-7,-22,10,16:10:12,
-17,-15,23,16:10:12,
-26,-8,40,16:10:12,
-37,2,46,16:10:12,
-23,2,47,16:10:13,
-36,17,54,16:10:13,
-60,34,50,16:10:13,
-67,38,43,16:10:13,
-63,28,36,16:10:13,
-74,32,36,16:10:13,
-48,31,28,16:10:13,
-21,27,22,16:10:13,
-48,30,21,16:10:13,
-70,24,19,16:10:13,
-59,15,15,16:10:13,
-40,13,12,16:10:13,
-28,18,14,16:10:13,
-40,19,15,16:10:13,
-47,19,7,16:10:13,
-44,12,23,16:10:13,
-37,19,12,16:10:13,
-26,19,13,16:10:13,
-44,23,15,16:10:13,
-34,13,7,16:10:13,
-53,23,13,16:10:13,
-41,17,11,16:10:13,
-47,26,10,16:10:13,
-39,20,11,16:10:14,
-35,23,2,16:10:24,
-28,33,3,16:10:24,
-17,36,-2,16:10:25,
-22,45,-3,16:10:25,
-14,51,-11,16:10:25,
-23,53,-7,16:10:25,
-20,43,-9,16:10:25,
-8,49,-19,16:10:25,
-17,44,-19,16:10:25,
-13,53,-17,16:10:28,
-10,45,-11,16:10:29,
-11,45,0,16:10:29,
-14,40,10,16:10:29,
-11,49,16,16:10:30,
-1,45,11,16:10:30,
-11,44,11,16:10:30,
-32,48,16,16:10:30,
-22,39,5,16:10:30,
-10,36,5,16:10:30,
-17,29,7,16:10:30,
-14,20,12,16:10:30,
0,16,13,16:10:30,
-10,30,11,16:10:31,
-11,40,13,16:10:31,
-20,44,4,16:10:31,
-27,52,15,16:10:31,
-35,57,24,16:10:31,
-12,52,12,16:10:31,
-31,54,9,16:10:31,
-12,50,10,16:10:31,
-17,41,6,16:10:31,
-27,37,18,16:10:31,
-38,36,19,16:10:31,
-18,33,22,16:10:31,
-30,36,23,16:10:31,
-22,30,28,16:10:31,
-28,40,36,16:10:31,
-18,37,38,16:10:31,
-12,43,29,16:10:31,
-17,34,27,16:10:31,
-8,25,35,16:10:31,
-9,23,20,16:10:32,
-21,36,20,16:10:32,
-14,43,15,16:10:32,
-12,49,4,16:10:32,
-19,48,16,16:10:32,
-16,38,13,16:10:32,
-9,37,-1,16:10:32,
-2,53,-16,16:10:32,
-36,88,18,16:10:32,
-76,95,50,16:10:32,
-23,59,20,16:10:32,
0,13,16,16:10:32,
-41,43,34,16:10:32,
-23,48,27,16:10:32,
-25,29,30,16:10:32,
-21,37,23,16:10:32,
-31,36,24,16:10:32,
-21,35,22,16:10:32,
-27,33,13,16:10:32,
-23,35,24,16:10:32,
-32,32,19,16:10:33,
-24,31,27,16:10:33,
-30,31,18,16:10:33,
-26,40,23,16:10:37,
-25,51,28,16:10:37,
-30,62,24,16:10:37,
-18,52,12,16:10:37,
-11,48,5,16:10:37,
-14,38,14,16:10:37,
-16,31,25,16:10:37,
-13,23,32,16:10:37,
-20,17,39,16:10:37,
-17,13,30,16:10:38,
-29,17,49,16:10:38,
-33,23,42,16:10:38,
-23,20,35,16:10:38,
-24,30,31,16:10:38,
-13,32,28,16:10:38,
-19,27,35,16:10:38,
-23,21,42,16:10:38,
-23,12,37,16:10:39,
-17,21,33,16:10:39,
-14,29,24,16:10:39,
-17,39,24,16:10:39,
-21,51,22,16:10:39,
-22,44,14,16:10:39,
-34,38,33,16:10:39,
-50,40,41,16:10:39,
-18,31,20,16:10:39,
-30,35,30,16:10:39,
-23,28,22,16:10:39,
-29,35,28,16:10:39,
-30,29,20,16:10:41,
-26,35,28,16:10:44,
-24,52,23,16:10:44,
-29,66,23,16:10:44,
-29,71,13,16:10:44,
-6,51,-5,16:10:44,
12,48,-16,16:10:44,
1,53,-7,16:10:44,
-9,52,2,16:10:44,
-9,41,2,16:10:44,
-15,35,8,16:10:44,
-19,34,30,16:10:45,
-13,41,49,16:10:45,
-4,45,35,16:10:45,
-18,43,24,16:10:45,
-27,35,16,16:10:45,
-19,31,11,16:10:45,
-7,37,6,16:10:45,
-14,45,6,16:10:45,
-5,39,13,16:10:45,
-13,34,18,16:10:45,
-14,23,30,16:10:45,
-2,29,34,16:10:45,
-16,40,39,16:10:45,
-4,45,33,16:10:45,
-20,50,41,16:10:45,
-33,50,35,16:10:45,
-21,33,26,16:10:45,
-37,43,40,16:10:45,
-69,40,32,16:10:45,
-67,2,18,16:10:45,
-42,8,36,16:10:45,
-10,21,46,16:10:45,
10,9,40,16:10:45,
-3,4,37,16:10:45,
-23,12,33,16:10:45,
-32,15,25,16:10:45,
-27,25,28,16:10:45,
-21,35,23,16:10:46,
-33,29,17,16:10:46,
-19,34,14,16:10:46,
-33,39,13,16:10:46,
-24,46,5,16:10:46,
-13,55,-4,16:10:46,
-21,61,0,16:10:46,
-10,47,4,16:10:46,
0,43,0,16:10:46,
-9,38,5,16:10:46,
-16,35,12,16:10:46,
-24,42,10,16:10:47,
-20,32,13,16:10:47,
-29,34,18,16:10:47,
-39,33,22,16:10:47,
-49,29,16,16:10:47,
-38,24,15,16:10:47,
-26,5,19,16:10:47,
-45,27,12,16:10:47,
-30,27,8,16:10:47,
-11,13,12,16:10:47,
-38,17,13,16:10:47,
-45,22,20,16:10:47,
-40,18,12,16:10:47,
-32,16,5,16:10:56,
-26,27,3,16:10:56,
-25,37,9,16:10:56,
-30,34,0,16:10:56,
-19,36,-2,16:10:56,
-22,43,-9,16:10:57,
-15,49,-18,16:10:57,
-7,42,-17,16:10:57,
-13,47,-26,16:10:57,
-15,45,-14,16:10:57,
-10,42,-23,16:10:58,
-17,40,-16,16:11:00,
-11,44,-23,16:11:00,
-16,42,-14,16:11:00,
-12,48,-21,16:11:01,
-14,52,-10,16:11:01,
-5,45,-10,16:11:01,
-10,38,-3,16:11:01,
-12,46,4,16:11:01,
-22,49,6,16:11:01,
-12,45,14,16:11:01,
-24,48,17,16:11:03,
-14,39,5,16:11:03,
-8,27,5,16:11:04,
-6,22,14,16:11:04,
-5,34,4,16:11:04,
-10,49,6,16:11:04,
-17,54,16,16:11:04,
-31,54,19,16:11:04,
-29,44,15,16:11:04,
-16,41,10,16:11:04,
-20,50,15,16:11:04,
-28,41,12,16:11:04,
-27,36,21,16:11:04,
-18,35,27,16:11:04,
-27,43,32,16:11:04,
-19,49,33,16:11:05,
-15,38,29,16:11:05,
-17,28,34,16:11:05,
-3,24,37,16:11:05,
5,26,29,16:11:05,
-5,30,22,16:11:05,
-13,37,19,16:11:05,
-19,46,18,16:11:05,
-13,51,2,16:11:05,
-1,86,-4,16:11:05,
-1,151,-33,16:11:05,
-67,68,45,16:11:05,
-6,-7,30,16:11:05,
30,29,0,16:11:05,
-10,46,6,16:11:05,
-60,31,14,16:11:05,
-67,41,16,16:11:05,
-43,53,11,16:11:05,
-32,41,7,16:11:05,
-23,34,6,16:11:05,
-13,40,10,16:11:05,
-35,37,16,16:11:05,
-55,32,18,16:11:05,
-35,36,19,16:11:05,
-10,41,12,16:11:06,
-18,31,10,16:11:06,
-30,37,17,16:11:06,
-36,28,14,16:11:06,
-21,35,12,16:11:06,
-32,34,15,16:11:06,
-41,26,12,16:11:06,
-30,34,18,16:11:06,
-41,28,12,16:11:06,
-30,34,13,16:11:06,
-39,27,14,16:11:06,
-29,33,12,16:11:06,
