angleX,angleY,angleZ,Time,Label
10,-43,19,23:09:24,Long Standing
22,-46,28,23:09:25,Long Standing
39,-11,19,23:09:25,Long Standing
9,37,15,23:09:26,Long Standing
-11,43,20,23:09:26,Long Standing
3,30,26,23:09:27,Long Standing
39,-21,-12,23:09:28,Long Standing
40,-21,-9,23:09:28,Long Standing
40,-24,-10,23:09:29,Long Standing
41,-22,-10,23:09:29,Long Standing
42,-21,-11,23:09:30,Long Standing
41,-22,-8,23:09:30,Long Standing
41,-22,-8,23:09:31,Long Standing
42,-22,-8,23:09:31,Long Standing
42,-22,-8,23:09:32,Long Standing
43,-22,-7,23:09:32,Long Standing
41,-22,-8,23:09:33,Long Standing
42,-22,-9,23:09:33,Long Standing
43,-21,-9,23:09:34,Long Standing
42,-21,-9,23:09:34,Long Standing
42,-22,-10,23:09:35,Long Standing
42,-22,-10,23:09:35,Long Standing
42,-22,-10,23:09:36,Long Standing
42,-23,-10,23:09:36,Long Standing
42,-23,-10,23:09:37,Long Standing
42,-23,-10,23:09:37,Long Standing
42,-23,-10,23:09:38,Long Standing
42,-22,-9,23:09:38,Long Standing
41,-23,-10,23:09:39,Long Standing
42,-22,-10,23:09:39,Long Standing
40,-22,-9,23:09:40,Long Standing
43,-22,-9,23:09:40,Long Standing
41,-22,-10,23:09:41,Long Standing
42,-23,-10,23:09:41,Long Standing
42,-23,-10,23:09:42,Long Standing
40,-23,-10,23:09:42,Long Standing
42,-23,-10,23:09:43,Long Standing
42,-23,-10,23:09:43,Long Standing
41,-23,-10,23:09:44,Long Standing
27,-30,-4,23:09:44,Bowing
14,-44,-8,23:09:45,Bowing
-7,-47,-18,23:09:45,Bowing
-10,-46,-21,23:09:46,Bowing
-7,-43,-22,23:09:46,Bowing
-8,-43,-21,23:09:47,Bowing
-8,-42,-19,23:09:47,Bowing
-6,-44,-18,23:09:48,Bowing
-9,-47,-19,23:09:49,Bowing
-1,-47,-15,23:09:49,Bowing
11,-45,1,23:09:50,Short Standing
13,-47,3,23:09:50,Short Standing
13,-46,6,23:09:51,Prostration
20,-46,4,23:09:51,Prostration
13,-50,-4,23:09:52,Prostration
27,-29,-13,23:09:52,Prostration
44,-36,8,23:09:53,Prostration
27,-31,23,23:09:53,Prostration
33,-34,34,23:09:54,Prostration
31,-17,31,23:09:54,Prostration
32,-26,24,23:09:55,Prostration
33,-27,22,23:09:55,Prostration
33,-28,23,23:09:56,Prostration
32,-28,22,23:09:56,Prostration
32,-25,25,23:09:57,Prostration
28,-22,36,23:09:57,Sitting
22,-34,33,23:09:58,Sitting
29,-12,34,23:09:58,Sitting
31,-15,33,23:09:59,Sitting
33,-15,32,23:09:59,Sitting
26,-10,33,23:10:00,Sitting
21,-33,31,23:10:00,Prostration
33,-16,32,23:10:01,Prostration
31,-22,26,23:10:01,Prostration
32,-25,25,23:10:02,Prostration
32,-27,24,23:10:02,Prostration
33,-28,21,23:10:03,Prostration
34,-26,23,23:10:03,Prostration
34,-26,22,23:10:04,Prostration
31,-18,35,23:10:04,Long Standing
24,-50,15,23:10:05,Long Standing
26,-43,46,23:10:05,Long Standing
26,-18,36,23:10:06,Long Standing
27,-4,44,23:10:06,Long Standing
32,-34,9,23:10:07,Long Standing
36,-15,-11,23:10:07,Long Standing
44,-19,-12,23:10:08,Long Standing
40,-22,-9,23:10:08,Long Standing
43,-22,-7,23:10:09,Long Standing
42,-23,-10,23:10:09,Long Standing
40,-24,-10,23:10:10,Long Standing
41,-24,-10,23:10:10,Long Standing
42,-24,-10,23:10:11,Long Standing
43,-23,-9,23:10:11,Long Standing
41,-23,-10,23:10:12,Long Standing
44,-20,-9,23:10:12,Long Standing
42,-23,-9,23:10:13,Long Standing
41,-23,-10,23:10:13,Long Standing
41,-23,-10,23:10:14,Long Standing
41,-23,-10,23:10:14,Long Standing
41,-23,-10,23:10:15,Long Standing
40,-23,-11,23:10:15,Long Standing
41,-24,-10,23:10:16,Long Standing
40,-24,-10,23:10:16,Long Standing
41,-24,-11,23:10:17,Long Standing
40,-24,-11,23:10:17,Long Standing
38,-26,-10,23:10:18,Long Standing
40,-24,-10,23:10:18,Long Standing
41,-24,-10,23:10:19,Long Standing
38,-25,-11,23:10:19,Long Standing
38,-36,-3,23:10:20,Bowing
2,-48,-10,23:10:20,Bowing
-15,-44,-25,23:10:21,Bowing
-10,-42,-22,23:10:21,Bowing
-9,-43,-21,23:10:22,Bowing
-9,-43,-21,23:10:22,Bowing
-8,-43,-21,23:10:23,Bowing
-8,-42,-21,23:10:23,Bowing
-7,-44,-21,23:10:24,Bowing
-11,-51,-15,23:10:24,Bowing
2,-44,-8,23:10:25,Short Standing
4,-51,5,23:10:25,Short Standing
2,-46,8,23:10:26,Short Standing
8,-46,12,23:10:26,Short Standing
11,-45,17,23:10:27,Prostration
17,-41,-2,23:10:27,Prostration
30,-35,-11,23:10:28,Prostration
27,-22,27,23:10:28,Prostration
13,-53,22,23:10:29,Prostration
31,-15,30,23:10:29,Prostration
33,-27,23,23:10:30,Prostration
32,-24,24,23:10:30,Prostration
36,-23,23,23:10:31,Prostration
36,-23,23,23:10:31,Prostration
36,-22,23,23:10:32,Sitting
35,-19,24,23:10:32,Sitting
33,-13,34,23:10:33,Sitting
20,-24,24,23:10:33,Sitting
30,-13,34,23:10:34,Sitting
30,-6,37,23:10:34,Sitting
31,-6,38,23:10:35,Sitting
23,-6,35,23:10:35,Sitting
42,-33,41,23:10:36,Prostration
33,-23,27,23:10:36,Prostration
31,-31,20,23:10:37,Prostration
31,-31,21,23:10:37,Prostration
31,-32,19,23:10:38,Prostration
31,-31,20,23:10:38,Prostration
31,-31,20,23:10:39,Prostration
30,-29,23,23:10:39,Prostration
31,-28,28,23:10:40,Prostration
24,-38,27,23:10:40,Sitting
12,-36,16,23:10:41,Sitting
27,-14,34,23:10:41,Sitting
31,-8,37,23:10:42,Sitting
30,-10,37,23:10:42,Sitting
31,-9,35,23:10:43,Sitting
32,-8,35,23:10:43,Sitting
32,-9,36,23:10:44,Sitting
31,-10,35,23:10:44,Sitting
32,-9,35,23:10:45,Sitting
31,-9,35,23:10:45,Sitting
31,-9,35,23:10:46,Sitting
31,-8,35,23:10:46,Sitting
32,-8,36,23:10:47,Sitting
31,-9,36,23:10:47,Sitting
30,-9,36,23:10:48,Sitting
31,-8,36,23:10:48,Sitting
30,-9,36,23:10:49,Sitting
30,-9,36,23:10:49,Sitting
30,-11,35,23:10:50,Sitting
31,-23,26,23:10:50,Sitting
16,-49,4,23:10:51,Sitting
11,-46,2,23:10:51,Sitting
18,-41,19,23:10:52,Sitting
36,-18,22,23:10:52,Long Standing
20,-9,46,23:10:53,Long Standing
16,-38,19,23:10:53,Long Standing
28,-27,-10,23:10:54,Long Standing
42,-19,-13,23:10:54,Long Standing
43,-25,-13,23:10:55,Long Standing
42,-24,-8,23:10:55,Long Standing
41,-24,-10,23:10:56,Long Standing
40,-24,-11,23:10:56,Long Standing
41,-25,-11,23:10:57,Long Standing
40,-24,-11,23:10:57,Long Standing
41,-24,-11,23:10:58,Long Standing
40,-24,-11,23:10:58,Long Standing
40,-24,-11,23:10:59,Long Standing
40,-24,-12,23:10:59,Long Standing
40,-24,-12,23:11:00,Long Standing
40,-24,-11,23:11:00,Long Standing
40,-25,-11,23:11:01,Long Standing
41,-24,-11,23:11:01,Long Standing
43,-22,-11,23:11:02,Long Standing
42,-23,-10,23:11:02,Long Standing
39,-23,-11,23:11:03,Long Standing
40,-24,-10,23:11:03,Long Standing
41,-24,-12,23:11:04,Long Standing
40,-24,-12,23:11:04,Long Standing
39,-23,-11,23:11:05,Long Standing
42,-23,-10,23:11:05,Long Standing
43,-23,-9,23:11:06,Long Standing
40,-24,-9,23:11:06,Long Standing
40,-23,-10,23:11:07,Long Standing
40,-24,-11,23:11:07,Long Standing
41,-23,-11,23:11:08,Long Standing
41,-24,-10,23:11:08,Long Standing
41,-25,-10,23:11:09,Long Standing
42,-27,-14,23:11:09,Long Standing
39,-27,-4,23:11:10,Long Standing
18,-48,0,23:11:10,Bowing
-2,-48,-17,23:11:11,Bowing
-5,-47,-20,23:11:11,Bowing
-6,-44,-24,23:11:12,Bowing
-5,-42,-23,23:11:12,Bowing
-4,-43,-22,23:11:13,Bowing
-4,-43,-22,23:11:13,Bowing
-3,-44,-21,23:11:14,Bowing
-2,-44,-21,23:11:14,Bowing
-2,-44,-21,23:11:15,Bowing
-3,-44,-21,23:11:15,Bowing
-3,-49,-21,23:11:16,Bowing
-1,-50,-7,23:11:16,Short Standing
11,-43,4,23:11:17,Short Standing
16,-49,9,23:11:17,Short Standing
15,-44,9,23:11:18,Short Standing
16,-46,6,23:11:18,Short Standing
17,-44,4,23:11:19,Short Standing
15,-33,-2,23:11:19,Prostration
35,-42,0,23:11:20,Prostration
32,-16,5,23:11:20,Prostration
20,-34,21,23:11:21,Prostration
38,-18,20,23:11:21,Prostration
42,-18,21,23:11:22,Prostration
39,-26,13,23:11:22,Prostration
38,-28,11,23:11:23,Prostration
38,-26,12,23:11:23,Prostration
38,-27,12,23:11:24,Prostration
39,-27,12,23:11:24,Prostration
39,-26,11,23:11:25,Prostration
38,-17,24,23:11:25,Sitting
15,-30,22,23:11:26,Sitting
24,-30,25,23:11:26,Sitting
33,-12,32,23:11:27,Sitting
29,-16,33,23:11:27,Sitting
32,-14,33,23:11:28,Prostration
24,-15,31,23:11:28,Prostration
26,-29,29,23:11:29,Prostration
34,-18,29,23:11:29,Prostration
35,-21,25,23:11:30,Prostration
35,-21,25,23:11:30,Prostration
36,-20,25,23:11:31,Prostration
36,-20,24,23:11:31,Prostration
36,-21,24,23:11:32,Prostration
40,-17,28,23:11:32,Prostration
33,-19,32,23:11:33,Prostration
18,-46,20,23:11:33,Long Standing
15,-41,18,23:11:34,Long Standing
34,-19,27,23:11:34,Long Standing
36,1,22,23:11:35,Long Standing
29,-31,21,23:11:35,Long Standing
22,-42,4,23:11:36,Long Standing
38,-25,-13,23:11:36,Long Standing
44,-20,-14,23:11:37,Long Standing
44,-21,-15,23:11:37,Long Standing
39,-23,-13,23:11:38,Long Standing
40,-24,-13,23:11:38,Long Standing
42,-23,-12,23:11:39,Long Standing
40,-23,-13,23:11:39,Long Standing
41,-23,-13,23:11:40,Long Standing
41,-23,-14,23:11:40,Long Standing
40,-24,-13,23:11:41,Long Standing
39,-25,-13,23:11:41,Long Standing
39,-23,-14,23:11:42,Long Standing
39,-22,-13,23:11:42,Long Standing
41,-23,-13,23:11:43,Long Standing
40,-23,-12,23:11:43,Long Standing
41,-23,-12,23:11:44,Long Standing
41,-24,-12,23:11:44,Long Standing
40,-23,-11,23:11:45,Long Standing
41,-24,-11,23:11:45,Long Standing
41,-23,-11,23:11:46,Long Standing
42,-23,-11,23:11:46,Long Standing
41,-22,-11,23:11:47,Long Standing
31,-29,-10,23:11:47,Bowing
4,-48,-12,23:11:48,Bowing
-9,-52,-7,23:11:48,Bowing
-2,-46,-18,23:11:49,Bowing
-5,-44,-19,23:11:49,Bowing
-4,-44,-19,23:11:50,Bowing
-4,-44,-19,23:11:50,Bowing
-4,-44,-20,23:11:51,Bowing
