angleX,angleY,angleZ,Time,Label,Label
10,-43,19,23:09:24,Long Standing,Long Standing
22,-46,28,23:09:25,Long Standing,Long Standing
39,-11,19,23:09:25,Long Standing,Long Standing
9,37,15,23:09:26,Long Standing,Long Standing
-11,43,20,23:09:26,Long Standing,Long Standing
3,30,26,23:09:27,Long Standing,Long Standing
39,-21,-12,23:09:28,Long Standing,Long Standing
40,-21,-9,23:09:28,Long Standing,Long Standing
40,-24,-10,23:09:29,Long Standing,Long Standing
41,-22,-10,23:09:29,Long Standing,Long Standing
42,-21,-11,23:09:30,Long Standing,Long Standing
41,-22,-8,23:09:30,Long Standing,Long Standing
41,-22,-8,23:09:31,Long Standing,Long Standing
42,-22,-8,23:09:31,Long Standing,Long Standing
42,-22,-8,23:09:32,Long Standing,Long Standing
43,-22,-7,23:09:32,Long Standing,Long Standing
41,-22,-8,23:09:33,Long Standing,Long Standing
42,-22,-9,23:09:33,Long Standing,Long Standing
43,-21,-9,23:09:34,Long Standing,Long Standing
42,-21,-9,23:09:34,Long Standing,Long Standing
42,-22,-10,23:09:35,Long Standing,Long Standing
42,-22,-10,23:09:35,Long Standing,Long Standing
42,-22,-10,23:09:36,Long Standing,Long Standing
42,-23,-10,23:09:36,Long Standing,Long Standing
42,-23,-10,23:09:37,Long Standing,Long Standing
42,-23,-10,23:09:37,Long Standing,Long Standing
42,-23,-10,23:09:38,Long Standing,Long Standing
42,-22,-9,23:09:38,Long Standing,Long Standing
41,-23,-10,23:09:39,Long Standing,Long Standing
42,-22,-10,23:09:39,Long Standing,Long Standing
40,-22,-9,23:09:40,Long Standing,Long Standing
43,-22,-9,23:09:40,Long Standing,Long Standing
41,-22,-10,23:09:41,Long Standing,Long Standing
42,-23,-10,23:09:41,Long Standing,Long Standing
42,-23,-10,23:09:42,Long Standing,Long Standing
40,-23,-10,23:09:42,Long Standing,Long Standing
42,-23,-10,23:09:43,Long Standing,Long Standing
42,-23,-10,23:09:43,Long Standing,Long Standing
41,-23,-10,23:09:44,Long Standing,Bowing
27,-30,-4,23:09:44,Bowing,Bowing
14,-44,-8,23:09:45,Bowing,Bowing
-7,-47,-18,23:09:45,Bowing,Bowing
-10,-46,-21,23:09:46,Bowing,Bowing
-7,-43,-22,23:09:46,Bowing,Bowing
-8,-43,-21,23:09:47,Bowing,Bowing
-8,-42,-19,23:09:47,Bowing,Bowing
-6,-44,-18,23:09:48,Bowing,Short Standing
-9,-47,-19,23:09:49,Bowing,Short Standing
-1,-47,-15,23:09:49,Bowing,Short Standing
11,-45,1,23:09:50,Short Standing,Short Standing
13,-47,3,23:09:50,Short Standing,Short Standing
13,-46,6,23:09:51,Prostration,1st Prostration
20,-46,4,23:09:51,Prostration,1st Prostration
13,-50,-4,23:09:52,Prostration,1st Prostration
27,-29,-13,23:09:52,Prostration,1st Prostration
44,-36,8,23:09:53,Prostration,1st Prostration
27,-31,23,23:09:53,Prostration,1st Prostration
33,-34,34,23:09:54,Prostration,1st Prostration
31,-17,31,23:09:54,Prostration,1st Prostration
32,-26,24,23:09:55,Prostration,1st Prostration
33,-27,22,23:09:55,Prostration,1st Prostration
33,-28,23,23:09:56,Prostration,Short Sitting
32,-28,22,23:09:56,Prostration,Short Sitting
32,-25,25,23:09:57,Prostration,Short Sitting
28,-22,36,23:09:57,Sitting,Short Sitting
22,-34,33,23:09:58,Sitting,Short Sitting
29,-12,34,23:09:58,Sitting,Short Sitting
31,-15,33,23:09:59,Sitting,2nd Prostration
33,-15,32,23:09:59,Sitting,2nd Prostration
26,-10,33,23:10:00,Sitting,2nd Prostration
21,-33,31,23:10:00,Prostration,2nd Prostration
33,-16,32,23:10:01,Prostration,2nd Prostration
31,-22,26,23:10:01,Prostration,2nd Prostration
32,-25,25,23:10:02,Prostration,2nd Prostration
32,-27,24,23:10:02,Prostration,2nd Prostration
33,-28,21,23:10:03,Prostration,Long Standing
34,-26,23,23:10:03,Prostration,Long Standing
34,-26,22,23:10:04,Prostration,Long Standing
31,-18,35,23:10:04,Long Standing,Long Standing
24,-50,15,23:10:05,Long Standing,Long Standing
26,-43,46,23:10:05,Long Standing,Long Standing
26,-18,36,23:10:06,Long Standing,Long Standing
27,-4,44,23:10:06,Long Standing,Long Standing
32,-34,9,23:10:07,Long Standing,Long Standing
36,-15,-11,23:10:07,Long Standing,Long Standing
44,-19,-12,23:10:08,Long Standing,Long Standing
40,-22,-9,23:10:08,Long Standing,Long Standing
43,-22,-7,23:10:09,Long Standing,Long Standing
42,-23,-10,23:10:09,Long Standing,Long Standing
40,-24,-10,23:10:10,Long Standing,Long Standing
41,-24,-10,23:10:10,Long Standing,Long Standing
42,-24,-10,23:10:11,Long Standing,Long Standing
43,-23,-9,23:10:11,Long Standing,Long Standing
41,-23,-10,23:10:12,Long Standing,Long Standing
44,-20,-9,23:10:12,Long Standing,Long Standing
42,-23,-9,23:10:13,Long Standing,Long Standing
41,-23,-10,23:10:13,Long Standing,Long Standing
41,-23,-10,23:10:14,Long Standing,Long Standing
41,-23,-10,23:10:14,Long Standing,Long Standing
41,-23,-10,23:10:15,Long Standing,Long Standing
40,-23,-11,23:10:15,Long Standing,Long Standing
41,-24,-10,23:10:16,Long Standing,Long Standing
40,-24,-10,23:10:16,Long Standing,Long Standing
41,-24,-11,23:10:17,Long Standing,Long Standing
40,-24,-11,23:10:17,Long Standing,Long Standing
38,-26,-10,23:10:18,Long Standing,Long Standing
40,-24,-10,23:10:18,Long Standing,Long Standing
41,-24,-10,23:10:19,Long Standing,Bowing
38,-25,-11,23:10:19,Long Standing,Bowing
38,-36,-3,23:10:20,Bowing,Bowing
2,-48,-10,23:10:20,Bowing,Bowing
-15,-44,-25,23:10:21,Bowing,Bowing
-10,-42,-22,23:10:21,Bowing,Bowing
-9,-43,-21,23:10:22,Bowing,Bowing
-9,-43,-21,23:10:22,Bowing,Bowing
-8,-43,-21,23:10:23,Bowing,Bowing
-8,-42,-21,23:10:23,Bowing,Bowing
