angleX,angleY,angleZ,Time,Label
-13,45,15,22:25:51,Long Standing
-25,35,7,22:25:51,Long Standing
41,-19,-20,22:25:52,Long Standing
32,-26,-25,22:25:53,Long Standing
40,-22,-22,22:25:53,Long Standing
37,-23,-20,22:25:54,Long Standing
38,-23,-20,22:25:54,Long Standing
38,-21,-21,22:25:55,Long Standing
39,-21,-20,22:25:55,Long Standing
39,-21,-20,22:25:56,Long Standing
39,-20,-20,22:25:56,Long Standing
39,-20,-20,22:25:57,Long Standing
33,-22,-19,22:25:57,Long Standing
38,-21,-22,22:25:58,Long Standing
37,-21,-20,22:25:58,Long Standing
39,-22,-20,22:25:59,Long Standing
38,-23,-20,22:25:59,Long Standing
38,-22,-20,22:26:00,Long Standing
37,-23,-20,22:26:00,Long Standing
37,-22,-20,22:26:01,Long Standing
39,-22,-20,22:26:01,Long Standing
38,-23,-21,22:26:02,Long Standing
38,-22,-20,22:26:02,Long Standing
40,-22,-20,22:26:03,Long Standing
37,-22,-21,22:26:03,Long Standing
37,-22,-21,22:26:04,Long Standing
38,-22,-21,22:26:04,Long Standing
38,-22,-21,22:26:05,Long Standing
38,-22,-20,22:26:05,Long Standing
38,-23,-20,22:26:06,Long Standing
38,-23,-20,22:26:06,Long Standing
38,-22,-20,22:26:07,Long Standing
38,-22,-20,22:26:07,Long Standing
36,-22,-21,22:26:08,Long Standing
30,-22,-8,22:26:08,Long Standing
11,-59,-10,22:26:09,Bowing
-5,-42,-19,22:26:09,Bowing
-18,-43,-14,22:26:10,Bowing
-17,-43,-12,22:26:10,Bowing
-17,-45,-12,22:26:11,Bowing
-17,-44,-12,22:26:11,Bowing
-16,-44,-11,22:26:12,Bowing
-18,-44,-11,22:26:12,Bowing
-17,-44,-11,22:26:13,Bowing
-19,-44,-11,22:26:13,Bowing
-2,-50,-6,22:26:14,Short Standing
7,-43,3,22:26:14,Short Standing
5,-48,8,22:26:15,Short Standing
5,-49,9,22:26:15,Short Standing
6,-48,4,22:26:16,Short Standing
6,-47,4,22:26:16,Short Standing
4,-32,1,22:26:17,Short Standing
7,-68,7,22:26:17,Short Standing
4,-39,33,22:26:18,1st Prostration
18,-39,25,22:26:18,1st Prostration
27,-32,25,22:26:19,1st Prostration
23,-30,29,22:26:19,1st Prostration
18,-31,30,22:26:20,1st Prostration
25,-31,27,22:26:20,1st Prostration
23,-31,28,22:26:21,1st Prostration
23,-30,30,22:26:21,1st Prostration
27,-23,33,22:26:22,1st Prostration
31,-39,30,22:26:22,Short Sitting
15,-23,37,22:26:23,Short Sitting
14,-27,38,22:26:23,Short Sitting
19,-25,37,22:26:24,Short Sitting
17,-25,37,22:26:24,Short Sitting
18,-27,36,22:26:25,Short Sitting
18,-31,28,22:26:25,Short Sitting
23,-20,34,22:26:26,2nd Prostration
23,-28,30,22:26:26,2nd Prostration
25,-29,29,22:26:27,2nd Prostration
24,-30,29,22:26:27,2nd Prostration
24,-32,27,22:26:28,2nd Prostration
25,-33,24,22:26:28,2nd Prostration
25,-33,24,22:26:29,2nd Prostration
25,-34,23,22:26:29,2nd Prostration
25,-32,25,22:26:30,2nd Prostration
20,-50,26,22:26:30,2nd Prostration
2,-35,21,22:26:31,2nd Prostration
7,-41,22,22:26:31,2nd Prostration
