,angleX,angleY,angleZ,Time,Label
0,-12,-20,27,10:49:54,StartEnd
1,24,-2,37,10:49:55,Long Standing
2,-19,29,15,10:49:55,Long Standing
3,-21,38,13,10:49:55,Long Standing
4,-14,25,13,10:49:55,Long Standing
5,36,-33,32,10:49:56,Long Standing
6,41,-9,20,10:49:56,Long Standing
7,41,-11,17,10:49:56,Long Standing
8,50,-11,8,10:49:57,Long Standing
9,34,-6,-3,10:49:57,Long Standing
10,48,-13,9,10:49:57,Long Standing
11,39,-11,2,10:49:57,Long Standing
12,42,-15,5,10:49:58,Long Standing
13,46,-16,9,10:49:58,Long Standing
14,46,-14,8,10:49:58,Long Standing
15,42,-14,4,10:49:58,Long Standing
16,42,-13,7,10:49:59,Long Standing
17,48,-18,3,10:49:59,Long Standing
18,41,-15,6,10:49:59,Long Standing
19,41,-15,2,10:49:59,Long Standing
20,45,-12,9,10:50:00,Long Standing
21,44,-13,0,10:50:00,Long Standing
22,43,-13,-7,10:50:00,Long Standing
23,45,-13,-13,10:50:01,Long Standing
24,50,-17,-4,10:50:01,Long Standing
25,41,-13,-4,10:50:01,Long Standing
26,43,-16,6,10:50:01,Long Standing
27,46,-15,-2,10:50:02,Long Standing
28,45,-14,2,10:50:02,Long Standing
29,47,-14,8,10:50:02,Long Standing
30,46,-16,5,10:50:02,Long Standing
31,47,-16,5,10:50:03,Long Standing
32,45,-16,6,10:50:03,Long Standing
33,49,-17,4,10:50:03,Long Standing
34,45,-15,4,10:50:03,Long Standing
35,45,-15,7,10:50:04,Long Standing
36,45,-13,5,10:50:04,Long Standing
37,45,-12,5,10:50:04,Long Standing
38,45,-12,6,10:50:04,Long Standing
39,46,-13,4,10:50:05,Long Standing
40,46,-16,5,10:50:05,Long Standing
41,46,-17,4,10:50:05,Long Standing
42,44,-16,5,10:50:05,Long Standing
43,46,-17,5,10:50:06,Long Standing
44,47,-17,3,10:50:06,Long Standing
45,47,-15,4,10:50:06,Long Standing
46,48,-13,7,10:50:06,Long Standing
47,47,-13,6,10:50:07,Long Standing
48,46,-14,7,10:50:07,Long Standing
49,46,-12,6,10:50:07,Long Standing
50,46,-14,7,10:50:07,Long Standing
51,46,-14,8,10:50:08,Long Standing
52,46,-15,9,10:50:08,Long Standing
53,44,-16,7,10:50:08,Long Standing
54,45,-16,8,10:50:08,Long Standing
55,44,-17,7,10:50:09,Long Standing
56,44,-17,10,10:50:09,Long Standing
57,41,-14,9,10:50:09,Long Standing
58,44,-14,8,10:50:09,Long Standing
59,44,-15,7,10:50:10,Long Standing
60,45,-15,7,10:50:10,Long Standing
61,46,-9,6,10:50:10,Long Standing
62,48,-10,6,10:50:10,Long Standing
63,45,-12,7,10:50:11,Long Standing
64,47,-10,5,10:50:11,Long Standing
65,47,-10,10,10:50:11,Long Standing
66,48,-11,8,10:50:11,Long Standing
67,47,-10,6,10:50:12,Long Standing
68,46,-11,6,10:50:12,Long Standing
69,48,-10,4,10:50:12,Long Standing
70,48,-9,7,10:50:12,Long Standing
71,48,-8,5,10:50:13,Long Standing
72,47,-8,5,10:50:13,Long Standing
73,47,-7,3,10:50:13,Long Standing
74,47,-9,4,10:50:13,Long Standing
75,49,-8,4,10:50:14,Long Standing
76,48,-8,4,10:50:14,Long Standing
77,42,-13,10,10:50:14,Long Standing
78,47,-10,7,10:50:14,Long Standing
79,45,-9,7,10:50:15,Long Standing
80,42,-6,7,10:50:15,Long Standing
81,48,-6,7,10:50:15,Long Standing
82,50,-6,2,10:50:15,Long Standing
83,48,-7,2,10:50:16,Long Standing
84,49,-6,4,10:50:16,Long Standing
85,48,-6,8,10:50:16,Long Standing
86,45,-8,7,10:50:16,Long Standing
87,47,-8,3,10:50:17,Long Standing
88,47,-7,6,10:50:17,Long Standing
89,46,-8,8,10:50:17,Long Standing
90,46,-10,6,10:50:17,Long Standing
91,44,-9,2,10:50:18,Long Standing
92,37,-7,3,10:50:18,Long Standing
93,45,-5,2,10:50:18,Long Standing
94,49,-13,9,10:50:18,Long Standing
95,46,-11,6,10:50:19,Bowing
96,46,-9,6,10:50:19,Bowing
97,41,-12,5,10:50:19,Bowing
98,18,-20,-5,10:50:19,Bowing
99,10,-47,-14,10:50:20,Bowing
100,0,-50,-22,10:50:20,Bowing
101,6,-46,-21,10:50:20,Bowing
102,4,-45,-23,10:50:21,Bowing
103,3,-41,-23,10:50:21,Bowing
104,3,-43,-22,10:50:21,Bowing
105,3,-43,-22,10:50:21,Bowing
106,3,-43,-22,10:50:22,Bowing
107,3,-44,-22,10:50:22,Bowing
108,4,-43,-22,10:50:22,Bowing
109,7,-50,-12,10:50:23,Short Standing
110,10,-41,3,10:50:23,Short Standing
111,18,-31,10,10:50:23,Short Standing
112,30,-39,15,10:50:24,Short Standing
113,27,-33,4,10:50:24,Short Standing
114,19,-36,6,10:50:24,Short Standing
115,18,-36,23,10:50:24,Short Standing
116,26,-43,8,10:50:25,Short Standing
117,28,-44,3,10:50:25,Short Standing
118,24,-33,0,10:50:25,Short Standing
119,3,-45,0,10:50:25,Short Standing
120,2,-21,0,10:50:26,1st Prostration
121,11,-50,5,10:50:26,1st Prostration
122,4,-50,10,10:50:26,1st Prostration
123,0,-49,37,10:50:27,1st Prostration
124,12,-18,17,10:50:27,1st Prostration
125,4,-46,2,10:50:27,1st Prostration
126,11,-38,27,10:50:27,1st Prostration
127,17,-34,27,10:50:28,1st Prostration
128,20,-34,29,10:50:28,1st Prostration
129,21,-35,26,10:50:28,1st Prostration
130,20,-36,25,10:50:28,1st Prostration
131,19,-37,25,10:50:29,1st Prostration
132,20,-37,24,10:50:29,1st Prostration
133,19,-37,24,10:50:29,1st Prostration
134,19,-37,24,10:50:29,1st Prostration
135,19,-37,24,10:50:30,1st Prostration
136,20,-37,24,10:50:30,1st Prostration
137,21,-38,24,10:50:30,1st Prostration
138,20,-35,25,10:50:30,1st Prostration
139,22,-32,29,10:50:31,1st Prostration
140,21,-30,35,10:50:31,1st Prostration
141,6,-47,13,10:50:31,1st Prostration
142,15,-19,31,10:50:31,1st Prostration
143,21,-24,46,10:50:32,Short Sitting
144,19,-26,37,10:50:32,Short Sitting
145,17,-27,35,10:50:32,Short Sitting
146,19,-27,34,10:50:32,Short Sitting
147,19,-26,35,10:50:33,Short Sitting
148,20,-18,35,10:50:33,Short Sitting
149,15,-13,37,10:50:33,Short Sitting
150,16,-25,33,10:50:34,2nd Prostration
151,25,-31,30,10:50:34,2nd Prostration
152,19,-33,30,10:50:34,2nd Prostration
153,22,-33,28,10:50:34,2nd Prostration
154,22,-33,27,10:50:35,2nd Prostration
155,23,-33,26,10:50:35,2nd Prostration
156,22,-34,26,10:50:35,2nd Prostration
157,22,-34,26,10:50:35,2nd Prostration
158,22,-34,25,10:50:36,2nd Prostration
159,23,-34,25,10:50:36,2nd Prostration
160,22,-34,26,10:50:36,2nd Prostration
161,23,-34,25,10:50:36,2nd Prostration
162,23,-34,26,10:50:37,2nd Prostration
163,25,-35,27,10:50:37,2nd Prostration
164,20,-36,26,10:50:37,2nd Prostration
165,22,-47,31,10:50:37,2nd Prostration
166,9,-41,11,10:50:38,Long Standing
167,15,-35,28,10:50:38,Long Standing
168,29,-25,29,10:50:38,Long Standing
169,24,-19,26,10:50:38,Long Standing
170,34,-21,15,10:50:39,Long Standing
171,30,-32,0,10:50:39,Long Standing
172,12,-40,2,10:50:39,Long Standing
173,29,-37,10,10:50:39,Long Standing
174,30,-11,12,10:50:40,Long Standing
175,49,-12,15,10:50:40,Long Standing
176,46,-9,10,10:50:40,Long Standing
177,38,-7,-1,10:50:41,Long Standing
178,50,1,0,10:50:41,Long Standing
179,45,-9,0,10:50:41,Long Standing
180,46,-8,-2,10:50:42,Long Standing
181,48,-7,0,10:50:42,Long Standing
182,48,-7,-1,10:50:43,Long Standing
183,47,-11,-2,10:50:43,Long Standing
184,42,-7,-2,10:50:43,Long Standing
185,46,-6,-2,10:50:44,Long Standing
186,46,-8,-1,10:50:44,Long Standing
187,47,-8,-2,10:50:44,Long Standing
188,44,-7,-4,10:50:44,Long Standing
189,47,-8,0,10:50:45,Long Standing
190,46,-7,-4,10:50:45,Long Standing
191,47,-7,-4,10:50:45,Long Standing
192,48,-7,-3,10:50:46,Long Standing
193,48,-7,-3,10:50:46,Long Standing
