angleX,angleY,angleZ,Time,Label
-12,0,49,12:39:17,Long Standing
-12,-1,50,12:39:17,Long Standing
-12,0,50,12:39:18,Long Standing
0,-27,34,12:39:19,Long Standing
22,-38,21,12:39:19,Long Standing
11,-39,32,12:39:20,Long Standing
-19,-10,34,12:39:20,Long Standing
-42,-21,30,12:39:21,Long Standing
-38,-19,25,12:39:21,Long Standing
-41,-19,22,12:39:22,Long Standing
-42,-22,20,12:39:22,Long Standing
-45,-16,22,12:39:23,Long Standing
-44,-21,24,12:39:23,Long Standing
-42,-20,21,12:39:24,Long Standing
-38,-21,22,12:39:24,Long Standing
-39,-20,23,12:39:25,Long Standing
-39,-21,23,12:39:25,Long Standing
-39,-21,22,12:39:26,Long Standing
-42,-21,22,12:39:26,Long Standing
-43,-22,22,12:39:27,Long Standing
-44,-20,19,12:39:27,Long Standing
-39,-22,21,12:39:28,Long Standing
-41,-26,20,12:39:28,Long Standing
-40,-25,20,12:39:29,Long Standing
-39,-23,22,12:39:29,Long Standing
-38,-22,21,12:39:30,Long Standing
-40,-24,21,12:39:30,Long Standing
-38,-25,22,12:39:31,Long Standing
-40,-25,22,12:39:31,Long Standing
-39,-23,20,12:39:32,Long Standing
-34,-23,19,12:39:32,Long Standing
-39,-24,21,12:39:33,Long Standing
-41,-23,20,12:39:33,Long Standing
-40,-23,19,12:39:34,Long Standing
-41,-22,18,12:39:34,Long Standing
-41,-22,17,12:39:35,Long Standing
-41,-22,17,12:39:35,Long Standing
-41,-24,17,12:39:36,Long Standing
-38,-22,20,12:39:36,Long Standing
-40,-22,20,12:39:37,Long Standing
-39,-23,20,12:39:37,Long Standing
-40,-24,20,12:39:38,Long Standing
-39,-23,20,12:39:38,Long Standing
-39,-23,20,12:39:39,Long Standing
-40,-23,20,12:39:39,Long Standing
-40,-23,19,12:39:40,Long Standing
-39,-23,19,12:39:40,Long Standing
-40,-23,20,12:39:41,Long Standing
-40,-23,20,12:39:41,Long Standing
-40,-23,20,12:39:42,Long Standing
-39,-23,20,12:39:42,Long Standing
-40,-23,20,12:39:43,Long Standing
-39,-23,21,12:39:43,Long Standing
-40,-23,21,12:39:44,Long Standing
-39,-23,20,12:39:44,Long Standing
-40,-23,21,12:39:45,Long Standing
-39,-23,21,12:39:45,Long Standing
-39,-22,20,12:39:46,Long Standing
-39,-23,21,12:39:46,Long Standing
-40,-23,21,12:39:47,Long Standing
-39,-23,21,12:39:47,Long Standing
-39,-23,21,12:39:48,Long Standing
-40,-23,22,12:39:48,Long Standing
-40,-23,21,12:39:49,Long Standing
-38,-23,21,12:39:49,Long Standing
-38,-23,21,12:39:50,Long Standing
-39,-24,20,12:39:50,Long Standing
-39,-23,21,12:39:51,Long Standing
-39,-23,21,12:39:51,Long Standing
-39,-23,22,12:39:52,Long Standing
-39,-23,22,12:39:52,Long Standing
-38,-23,22,12:39:53,Long Standing
-38,-23,21,12:39:53,Long Standing
-40,-23,22,12:39:54,Long Standing
-39,-22,23,12:39:54,Long Standing
-40,-22,22,12:39:55,Long Standing
-39,-23,21,12:39:55,Long Standing
-38,-23,22,12:39:56,Long Standing
-40,-24,23,12:39:56,Long Standing
-40,-23,24,12:39:57,Long Standing
-35,-21,26,12:39:57,Long Standing
-38,-22,26,12:39:58,Long Standing
-35,-24,24,12:39:58,Long Standing
-37,-25,21,12:39:59,Long Standing
-39,-20,22,12:39:59,Long Standing
-40,-22,21,12:40:00,Long Standing
-39,-22,21,12:40:00,Long Standing
-39,-23,22,12:40:01,Long Standing
-39,-22,22,12:40:01,Long Standing
-39,-22,21,12:40:02,Long Standing
-39,-22,22,12:40:02,Long Standing
-40,-22,21,12:40:03,Long Standing
-42,-22,21,12:40:03,Long Standing
-41,-22,22,12:40:04,Long Standing
-40,-22,21,12:40:04,Long Standing
-39,-22,21,12:40:05,Long Standing
-40,-21,22,12:40:05,Long Standing
-39,-19,21,12:40:06,Long Standing
-43,12,16,12:40:06,Long Standing
-17,44,-7,12:40:07,Long Standing
-16,43,-6,12:40:08,Bowing
-17,44,-3,12:40:08,Bowing
-18,42,-3,12:40:09,Bowing
-19,42,-2,12:40:09,Bowing
-18,42,-2,12:40:10,Bowing
-19,43,-2,12:40:10,Bowing
-19,43,-2,12:40:11,Bowing
-12,50,0,12:40:11,Bowing
-4,44,4,12:40:12,Bowing
-6,48,18,12:40:12,Bowing
-5,45,13,12:40:13,Short Standing
-9,45,12,12:40:13,Short Standing
-8,45,12,12:40:14,Short Standing
-7,46,11,12:40:14,Short Standing
-9,44,9,12:40:15,Short Standing
-9,37,26,12:40:15,Short Standing
-14,16,22,12:40:16,1st Prostration
-21,42,13,12:40:16,1st Prostration
-23,41,13,12:40:17,1st Prostration
-29,24,38,12:40:17,1st Prostration
-23,18,40,12:40:18,1st Prostration
-24,26,39,12:40:18,1st Prostration
-25,2,44,12:40:19,1st Prostration
-35,0,40,12:40:19,1st Prostration
-35,-2,36,12:40:20,1st Prostration
-35,-2,36,12:40:20,1st Prostration
-35,-2,36,12:40:21,1st Prostration
-35,-2,36,12:40:21,1st Prostration
-32,-2,37,12:40:22,1st Prostration
-29,18,36,12:40:22,1st Prostration
-24,13,40,12:40:23,Short Sitting
-15,18,40,12:40:23,Short Sitting
-21,21,40,12:40:24,Short Sitting
-22,17,41,12:40:24,Short Sitting
-32,29,33,12:40:25,Short Sitting
-20,30,48,12:40:25,Short Sitting
-29,0,42,12:40:26,Short Sitting
-32,-1,40,12:40:26,Short Sitting
-31,-1,40,12:40:27,2nd Prostration
-31,-1,40,12:40:27,2nd Prostration
-31,-1,40,12:40:28,2nd Prostration
-31,-1,40,12:40:28,2nd Prostration
-31,0,39,12:40:29,2nd Prostration
-21,12,46,12:40:29,2nd Prostration
-19,18,32,12:40:30,2nd Prostration
-15,19,43,12:40:30,2nd Prostration
-16,20,42,12:40:31,2nd Prostration
-20,16,38,12:40:31,2nd Prostration
-11,40,21,12:40:32,2nd Prostration
-5,46,8,12:40:32,2nd Prostration
-2,41,19,12:40:33,2nd Prostration
9,47,30,12:40:33,2nd Prostration
-23,22,36,12:40:34,Long Standing
-26,29,31,12:40:35,Long Standing
