angleX,angleY,angleZ,Time,Label
5,-37,27,10:23:20,Standing
9,-38,32,10:23:20,Standing
8,-37,31,10:23:21,Standing
4,-34,34,10:23:21,Standing
5,-30,34,10:23:21,Standing
3,-31,41,10:23:21,Standing
7,-27,42,10:23:22,Standing
5,-19,45,10:23:22,Standing
9,27,19,10:23:22,Standing
-23,34,9,10:23:23,Standing
-15,42,17,10:23:23,Standing
-15,37,21,10:23:23,Standing
-1,18,-8,10:23:23,Standing
22,-38,7,10:23:24,Standing
44,-15,24,10:23:24,Standing
43,-4,10,10:23:24,Standing
36,-9,11,10:23:25,Standing
43,-2,9,10:23:25,Standing
50,-5,7,10:23:25,Standing
48,-4,6,10:23:26,Standing
48,-4,4,10:23:26,Standing
46,-6,6,10:23:26,Standing
48,-7,4,10:23:27,Standing
49,-5,2,10:23:27,Standing
48,-5,3,10:23:27,Standing
49,-6,2,10:23:27,Standing
48,-6,2,10:23:28,Standing
48,-7,3,10:23:28,Standing
47,-6,3,10:23:28,Standing
48,-7,4,10:23:28,Standing
47,-7,2,10:23:29,Standing
47,-8,1,10:23:29,Standing
48,-6,2,10:23:29,Standing
49,-7,3,10:23:29,Standing
48,-7,4,10:23:30,Standing
48,-7,5,10:23:30,Standing
47,-6,5,10:23:30,Standing
49,-7,3,10:23:30,Standing
49,-7,1,10:23:31,Standing
48,-7,1,10:23:31,Standing
48,-7,3,10:23:31,Standing
47,-7,0,10:23:31,Standing
50,-7,3,10:23:32,Standing
46,-8,2,10:23:32,Standing
48,-8,2,10:23:32,Standing
50,-6,3,10:23:32,Standing
46,-7,2,10:23:33,Standing
48,-6,4,10:23:33,Standing
48,-6,3,10:23:33,Standing
48,-7,3,10:23:33,Standing
44,-5,3,10:23:34,Standing
49,-6,4,10:23:34,Standing
47,-6,3,10:23:34,Standing
48,-6,3,10:23:34,Standing
48,-7,4,10:23:35,Standing
48,-7,3,10:23:35,Standing
47,-8,2,10:23:35,Standing
47,-7,3,10:23:35,Standing
48,-8,1,10:23:36,Standing
47,-10,1,10:23:36,Standing
46,-9,2,10:23:36,Standing
49,-7,3,10:23:36,Standing
49,-9,1,10:23:37,Standing
48,-9,1,10:23:37,Standing
47,-9,1,10:23:37,Standing
47,-8,2,10:23:38,Standing
48,-6,2,10:23:38,Standing
47,-8,2,10:23:38,Standing
47,-7,4,10:23:38,Standing
47,-6,4,10:23:39,Standing
48,-6,4,10:23:39,Standing
44,-6,2,10:23:39,Standing
46,-7,4,10:23:39,Standing
47,-8,5,10:23:40,Standing
38,-6,10,10:23:40,Standing
38,-35,2,10:23:40,Standing
31,-39,-6,10:23:41,Bowing
15,-39,-4,10:23:41,Bowing
16,-47,-24,10:23:41,Bowing
10,-45,-16,10:23:42,Bowing
5,-46,-19,10:23:42,Bowing
3,-45,-17,10:23:42,Bowing
8,-46,-16,10:23:42,Bowing
6,-45,-17,10:23:43,Bowing
5,-46,-16,10:23:43,Bowing
4,-45,-15,10:23:43,Bowing
3,-45,-16,10:23:43,Bowing
4,-46,-16,10:23:44,Bowing
4,-46,-16,10:23:44,Bowing
3,-48,-15,10:23:44,Bowing
7,-45,-9,10:23:45,Standing
13,-38,-2,10:23:45,Standing
21,-27,4,10:23:45,Standing
